bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;187;4,3;;;LF
ab;2633;6,5;;;
ac;19038;9,1;HF;HF;HF
ad;33554;9,7;HF;HF;HF
ae;38932;9,8;HF;HF;HF
af;14110;8,5;;HF;HF
ag;7020;7,6;;;HF
ah;1571;5,9;;;
ai;39568;9,8;HF;HF;HF
aj;34;3;;;LF
ak;121;4,1;;;LF
al;17578;8,9;;HF;HF
am;19376;9,1;HF;HF;HF
an;51732;9,9;HF;HF;HF
ao;512;5,2;;;
ap;1911;6,1;;;
aq;18;2,6;;;LF
ar;50788;9,9;HF;HF;HF
as;9953;8,1;;HF;HF
at;12854;8,4;;HF;HF
au;31549;9,6;HF;HF;HF
av;640;5,4;;;
aw;20259;9,1;HF;HF;HF
ax;18;2,6;;;LF
ay;252;4,4;;;LF
az;47;3,3;;;LF
ba;7187;7,7;;;HF
bb;136;4,1;;;LF
bc;44;3,2;;;LF
bd;75;3,6;;;LF
be;11963;8,3;;HF;HF
bf;2;1;LF;LF;LF
bg;8;1,8;;LF;LF
bh;13;2,3;;;LF
bi;2071;6,1;;;
bj;5;1,6;;LF;LF
bk;0;0;LF;LF;LF
bl;8760;8;;;HF
bm;53;3,4;;;LF
bn;33;3;;;LF
bo;11701;8,3;;HF;HF
bp;3;1,2;;LF;LF
br;7481;7,8;;;HF
bs;98;3,9;;;LF
bt;10;2;;LF;LF
bu;3466;6,9;;;
bv;2;1;LF;LF;LF
bw;3447;6,9;;;
by;11794;8,3;;HF;HF
ca;12303;8,4;;HF;HF
cb;85;3,7;;;LF
cc;85;3,7;;;LF
cd;20;2,7;;;LF
ce;4723;7,2;;;HF
cf;18;2,6;;;LF
cg;13;2,3;;;LF
ch;38817;9,8;HF;HF;HF
ci;1757;6;;;
cj;0;0;LF;LF;LF
ck;270;4,5;;;LF
cl;2164;6,2;;;
cm;10;2;;LF;LF
cn;169;4,2;;;LF
co;5136;7,3;;;HF
cp;15;2,5;;;LF
cq;3;1,2;;LF;LF
cr;4117;7;;;HF
cs;376;4,8;;;LF
ct;1270;5,7;;;
cu;590;5,3;;;
cv;3;1,2;;LF;LF
cw;2610;6,5;;;
cy;21728;9,2;HF;HF;HF
cz;2;1;LF;LF;LF
da;37849;9,7;HF;HF;HF
db;90;3,8;;;LF
dc;20;2,7;;;LF
dd;122912;10;HF;HF;HF
de;21407;9,2;HF;HF;HF
df;2403;6,4;;;
dg;338;4,7;;;LF
dh;265;4,5;;;LF
di;49327;9,9;HF;HF;HF
dj;9;1,9;;LF;LF
dk;1;0,7;;;
dl;4085;7;;;HF
dm;149;4,2;;;LF
dn;1167;5,7;;;
do;22054;9,3;HF;HF;HF
dp;2;1;LF;LF;LF
dq;0;0;LF;LF;LF
dr;15600;8,7;;HF;HF
ds;486;5,1;;;
