bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;213;60;;;
ab;1706;90;HF;HF;HF
ac;1638;89;;HF;HF
ad;829;79;;;HF
ae;41;41;;;LF
af;1126;84;;HF;HF
ag;1444;88;;HF;HF
ah;1356;85;;HF;HF
ai;205;60;;;
aj;22;34;;;LF
ak;603;72;;;HF
al;3447;96;HF;HF;HF
am;1439;87;;HF;HF
an;5464;98;HF;HF;HF
ao;26;36;;;LF
ap;731;76;;;HF
aq;23;35;;;LF
ar;3579;96;HF;HF;HF
as;2117;92;HF;HF;HF
at;3371;95;HF;HF;HF
au;4565;97;HF;HF;HF
av;125;56;;;
aw;32;39;;;LF
ax;60;46;;;LF
ay;18;32;;;LF
az;125;56;;;
ba;1532;89;;HF;HF
bb;147;57;;;
bc;21;33;;;LF
bd;54;45;;;LF
be;5093;98;HF;HF;HF
bf;84;51;;;
bg;109;54;;;
bh;73;49;;;LF
bi;859;80;;;HF
bj;28;37;;;LF
bk;71;48;;;LF
bl;766;78;;;HF
bm;39;41;;;LF
bn;45;42;;;LF
bo;452;69;;;
bp;24;36;;;LF
bq;2;20;;LF;LF
br;894;80;;HF;HF
bs;577;71;;;HF
bt;107;54;;;
bu;610;72;;;HF
bv;9;27;;;LF
bw;104;53;;;
bx;0;0;LF;LF;LF
by;19;33;;;LF
bz;43;42;;;LF
ca;14;30;;;LF
cb;0;0;LF;LF;LF
cc;2;20;;LF;LF
cd;0;0;LF;LF;LF
ce;46;43;;;LF
cf;0;0;LF;LF;LF
cg;0;0;LF;LF;LF
ch;14175;100;HF;HF;HF
ci;23;35;;;LF
cj;0;0;LF;LF;LF
ck;1759;91;HF;HF;HF
cl;4;23;;;LF
cm;0;0;LF;LF;LF
cn;0;0;LF;LF;LF
co;21;33;;;LF
cp;0;0;LF;LF;LF
cq;0;0;LF;LF;LF
cr;7;26;;;LF
cs;0;0;LF;LF;LF
ct;2;20;;LF;LF
cu;1;17;;LF;LF
cv;0;0;LF;LF;LF
cw;0;0;LF;LF;LF
cx;0;0;LF;LF;LF
cy;0;0;LF;LF;LF
cz;0;0;LF;LF;LF
da;574;71;;;HF
db;117;55;;;
dc;32;39;;;LF
dd;60;46;;;LF
de;3529;96;HF;HF;HF
df;74;49;;;LF
dg;58;45;;;LF
dh;73;49;;;LF
di;1418;87;;HF;HF
dj;13;29;;;LF
dk;32;39;;;
dl;323;65;;;
dm;49;44;;;LF
dn;96;52;;;
do;279;63;;;
dp;17;31;;;LF
dq;2;20;;LF;LF
dr;537;70;;;HF
ds;270;63;;;
dt;126;56;;;
du;847;79;;;HF
dv;28;37;;;LF
dw;74;49;;;LF
dx;0;0;LF;LF;LF
dy;29;37;;;LF
dz;12;28;;;LF
ea;279;63;;;
eb;1179;84;;HF;HF
ec;1120;84;;HF;HF
ed;936;81;;HF;HF
ee;443;69;;;
ef;756;78;;;HF
eg;1430;87;;HF;HF
eh;1383;86;;HF;HF
ei;8380;100;HF;HF;HF
ej;24;36;;;LF
ek;689;75;;;HF
el;4812;98;HF;HF;HF
em;943;81;;HF;HF
en;16018;100;HF;HF;HF
eo;125;56;;;
ep;358;67;;;
eq;37;40;;;LF
er;16936;100;HF;HF;HF
es;2719;94;HF;HF;HF
et;1753;90;HF;HF;HF
eu;1072;83;;HF;HF
ev;169;59;;;
ew;430;68;;;
ex;299;65;;;
ey;7;26;;;LF
ez;236;62;;;
fa;1255;85;;HF;HF
fb;121;55;;;
fc;18;32;;;LF
fd;21;33;;;LF
fe;2156;92;HF;HF;HF
ff;735;77;;;HF
fg;89;51;;;
fh;61;46;;;LF
fi;676;74;;;HF
fj;5;25;;;LF
fk;53;45;;;LF
fl;893;80;;HF;HF
fm;50;44;;;LF
fn;82;50;;;
fo;571;71;;;HF
fp;45;42;;;LF
fq;1;17;;LF;LF
fr;749;77;;;HF
fs;277;63;;;
ft;1107;84;;HF;HF
fu;617;73;;;HF
fv;6;25;;;LF
fw;75;49;;;LF
fx;0;0;LF;LF;LF
fy;0;0;LF;LF;LF
fz;41;41;;;LF
ga;733;77;;;HF
gb;88;51;;;
gc;1;17;;LF;LF
gd;29;37;;;LF
ge;5691;99;HF;HF;HF
gf;73;49;;;LF
gg;94;52;;;
gh;57;45;;;LF
gi;681;75;;;HF
gj;4;23;;;LF
gk;623;73;;;HF
gl;720;76;;;HF
gm;72;48;;;LF
gn;214;61;;;
go;222;61;;;
gp;23;35;;;LF
gq;0;0;LF;LF;LF
gr;905;80;;HF;HF
gs;919;81;;HF;HF
gt;147;57;;;
gu;596;72;;;HF
gv;15;30;;;LF
gw;50;44;;;LF
gx;0;0;LF;LF;LF
gy;21;33;;;LF
gz;21;33;;;LF
ha;2794;94;HF;HF;HF
hb;180;59;;;
hc;8;27;;;LF
hd;47;43;;;LF
he;4613;97;HF;HF;HF
hf;106;54;;;
hg;111;54;;;
hh;88;51;;;
hi;1495;88;;HF;HF
hj;4;23;;;LF
hk;371;67;;;
hl;1665;90;;HF;HF
hm;629;73;;;HF
hn;990;82;;HF;HF
ho;1144;84;;HF;HF
hp;30;38;;;LF
hq;3;22;;;LF
hr;1596;89;;HF;HF
hs;528;70;;;
ht;1859;91;HF;HF;HF
hu;931;81;;HF;HF
hv;29;37;;;LF
hw;696;75;;;HF
hx;0;0;LF;LF;LF
hy;121;55;;;
hz;68;48;;;LF
ia;418;67;;;
ib;448;69;;;
ic;3101;95;HF;HF;HF
id;700;76;;;HF
ie;5485;98;HF;HF;HF
if;718;76;;;HF
ig;3728;96;HF;HF;HF
ih;141;57;;;
ii;27;37;;;LF
ij;1;17;;LF;LF
ik;843;79;;;HF
il;1669;90;;HF;HF
im;856;79;;;HF
in;5154;98;HF;HF;HF
io;1419;87;;HF;HF
ip;260;62;;;
iq;30;38;;;LF
ir;690;75;;;HF
is;4864;98;HF;HF;HF
it;4408;97;HF;HF;HF
iu;156;58;;;
iv;507;70;;;
iw;17;31;;;LF
ix;29;37;;;LF
iy;0;0;LF;LF;LF
iz;377;67;;;
ja;208;60;;;
jb;0;0;LF;LF;LF
jc;0;0;LF;LF;LF
jd;0;0;LF;LF;LF
je;107;54;;;
jf;0;0;LF;LF;LF
jg;0;0;LF;LF;LF
jh;0;0;LF;LF;LF
ji;5;25;;;LF
jj;0;0;LF;LF;LF
jk;0;0;LF;LF;LF
jl;0;0;LF;LF;LF
jm;0;0;LF;LF;LF
jn;0;0;LF;LF;LF
jo;46;43;;;LF
jp;0;0;LF;LF;LF
jq;0;0;LF;LF;LF
jr;0;0;LF;LF;LF
js;0;0;LF;LF;LF
jt;0;0;LF;LF;LF
ju;150;58;;;
jv;0;0;LF;LF;LF
jw;0;0;LF;LF;LF
jx;0;0;LF;LF;LF
jy;0;0;LF;LF;LF
jz;0;0;LF;LF;LF
