bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;245655;8,61;;HF;HF
ab;311700;8,78;;HF;HF
ac;778103;9,62;HF;HF;HF
ad;1167809;9,85;HF;HF;HF
ae;369819;8,97;;HF;HF
af;126758;7,72;;;HF
ag;133088;7,84;;;HF
ah;97139;7,32;;;HF
ai;147221;7,94;;;HF
aj;96821;7,28;;;HF
ak;12458;5,52;;;
al;1084337;9,8;HF;HF;HF
am;430193;9,12;HF;HF;HF
an;1008947;9,79;HF;HF;HF
ao;68103;6,74;;;
ap;385667;9;HF;HF;HF
aq;128548;7,77;;;HF
ar;1162901;9,83;HF;HF;HF
as;1268034;9,89;HF;HF;HF
at;342389;8,88;;HF;HF
au;180953;8,3;;HF;HF
av;144357;7,89;;;HF
aw;3443;4,38;;;LF
ax;5653;4,82;;;LF
ay;191958;8,42;;HF;HF
az;68831;6,76;;;
ba;248983;8,63;;HF;HF
bb;3265;4,32;;;LF
bc;2258;3,87;;;LF
bd;2891;4,16;;;LF
be;109572;7,48;;;HF
bf;208;1,17;;LF;LF
bg;193;1,14;;LF;LF
bh;415;1,91;;LF;LF
bi;205393;8,46;;HF;HF
bj;8027;5,15;;;
bk;135;0,89;LF;LF;LF
bl;131422;7,81;;;HF
bm;899;2,79;;;LF
bn;764;2,57;;;LF
bo;69680;6,79;;;
bp;556;2,22;;;LF
bq;306;1,54;;LF;LF
br;179656;8,27;;HF;HF
bs;13549;5,61;;;
bt;4430;4,63;;;LF
bu;54026;6,58;;;
bv;3231;4,3;;;LF
bw;113;0,83;LF;LF;LF
bx;7;0,04;LF;LF;LF
by;1211;3,17;;;LF
bz;422;1,96;;LF;LF
ca;633966;9,47;HF;HF;HF
cb;849;2,68;;;LF
cc;54359;6,61;;;
cd;3059;4,26;;;LF
ce;304973;8,76;;HF;HF
cf;2340;3,93;;;LF
cg;742;2,54;;;LF
ch;152892;8,05;;HF;HF
ci;936124;9,74;HF;HF;HF
cj;310;1,57;;LF;LF
ck;5485;4,79;;;LF
cl;76029;6,93;;;
cm;1939;3,74;;;LF
cn;10464;5,39;;;
co;916787;9,73;HF;HF;HF
cp;1529;3,44;;;LF
cq;1275;3,23;;;LF
cr;112206;7,53;;;HF
cs;2733;4,07;;;LF
ct;163410;8,17;;HF;HF
cu;261363;8,67;;HF;HF
cv;499;2,08;;;LF
cw;46;0,46;LF;LF;LF
cx;18;0,19;LF;LF;LF
cy;1348;3,29;;;LF
cz;651;2,37;;;LF
da;574060;9,4;HF;HF;HF
