bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;7;1,8;;LF;LF
ab;3573;8,5;;HF;HF
ac;4367;8,8;;HF;HF
ad;2212;7,6;;;HF
ae;15;2,5;;;LF
af;992;6,5;;;
ag;4107;8,8;;HF;HF
ah;239;5,2;;;
ai;19647;9,9;HF;HF;HF
aj;252;5,3;;;
ak;97;4,2;;;LF
al;7669;9,4;HF;HF;HF
am;3164;8,3;;HF;HF
an;15342;9,8;HF;HF;HF
ao;140;4,6;;;LF
ap;3372;8,4;;HF;HF
aq;579;6;;;
ar;8598;9,5;HF;HF;HF
as;5227;9,1;HF;HF;HF
at;8615;9,5;HF;HF;HF
au;3298;8,4;;HF;HF
av;1727;7,2;;;HF
aw;15;2,5;;;LF
ax;246;5,2;;;
ay;581;6,1;;;
az;215;5,1;;;
ba;3006;8,2;;HF;HF
bb;45;3,4;;;LF
bc;11;2,2;;;LF
bd;56;3,6;;;LF
be;1157;6,7;;;
bf;1;0;LF;LF;LF
bh;12;2,2;;;LF
bi;2231;7,6;;;HF
bj;103;4,3;;;LF
bl;3031;8,3;;HF;HF
bm;20;2,7;;;LF
bn;15;2,5;;;LF
bo;2934;8,1;;HF;HF
bq;1;0;LF;LF;LF
br;2395;7,8;;;HF
bs;448;5,8;;;
bt;88;4;;;LF
bu;870;6,4;;;
bv;35;3,2;;;LF
by;69;3,9;;;LF
ca;5352;9,1;HF;HF;HF
cc;1219;6,8;;;
cd;9;2;;LF;LF
ce;3967;8,7;;HF;HF
cf;6;1,6;;LF;LF
cg;1;0;LF;LF;LF
ch;7775;9,4;HF;HF;HF
ci;3781;8,6;;HF;HF
ck;143;4,7;;;LF
cl;1747;7,2;;;HF
cm;7;1,8;;LF;LF
cn;8;1,9;;LF;LF
co;9708;9,6;HF;HF;HF
cq;119;4,4;;;LF
cr;2930;8,1;;HF;HF
cs;117;4,4;;;LF
ct;2837;8;;;HF
cu;2269;7,6;;;HF
cv;5;1,5;;LF;LF
cy;269;5,4;;;
cz;10;2,1;;;LF
da;2272;7,6;;;HF
dc;5;1,5;;LF;LF
dd;72;3,9;;;LF
de;4040;8,7;;HF;HF
dg;31;3;;;LF
dh;51;3,5;;;LF
di;5348;9,1;HF;HF;HF
dj;86;4;;;LF
dk;2;0,6;;;
dl;12;2,2;;;LF
dm;122;4,5;;;LF
dn;17;2,7;;;LF
do;2073;7,5;;;HF
dp;1;0;LF;LF;LF
dr;1744;7,2;;;HF
ds;389;5,7;;;
dt;3;1,1;;LF;LF
du;1153;6,7;;;
dv;31;3;;;LF
dw;9;2;;LF;LF
dy;139;4,6;;;LF
dz;6;1,6;;LF;LF
ea;1158;6,7;;;
eb;323;5,5;;;
ec;2488;7,8;;;HF
ed;443;5,8;;;
ee;49;3,5;;;LF
ef;747;6,3;;;
eg;279;5,4;;;
eh;34;3,1;;;LF
ei;1170;6,8;;;
ej;92;4,1;;;LF
ek;11;2,2;;;LF
el;3527;8,5;;HF;HF
em;5721;9,2;HF;HF;HF
en;25029;10;HF;HF;HF
eo;204;5;;;LF
ep;1047;6,5;;;
eq;58;3,7;;;LF
er;19736;9,9;HF;HF;HF
es;24417;10;HF;HF;HF
et;3343;8,4;;HF;HF
eu;6322;9,2;HF;HF;HF
ev;1051;6,5;;;
ew;28;2,9;;;LF
ex;1937;7,3;;;HF
ey;74;3,9;;;LF
ez;2757;8;;;HF
fa;1697;7,2;;;HF
fc;1;0;LF;LF;LF
fe;1372;6,9;;;
ff;2141;7,5;;;HF
fg;4;1,2;;LF;LF
fh;1;0;LF;LF;LF
fi;2977;8,2;;HF;HF
fj;2;0,6;LF;LF;LF
fk;1;0;LF;LF;LF
fl;1442;7;;;
fn;2;0,6;LF;LF;LF
fo;1995;7,3;;;HF
fr;1688;7,1;;;HF
fs;344;5,6;;;
ft;51;3,5;;;LF
fu;718;6,2;;;
ga;2198;7,6;;;HF
gb;3;1,1;;LF;LF
gd;13;2,4;;;LF
ge;4466;8,9;;HF;HF
gg;122;4,5;;;LF
gh;53;3,6;;;LF
gi;2058;7,4;;;HF
gl;947;6,4;;;
gm;163;4,7;;;LF
gn;2052;7,4;;;HF
go;1693;7,1;;;HF
gr;2737;7,9;;;HF
gs;97;4,2;;;LF
gt;13;2,4;;;LF
gu;2087;7,5;;;HF
gw;2;0,6;LF;LF;LF
gy;82;4;;;LF
gz;16;2,6;;;LF
ha;3762;8,6;;HF;HF
hb;1;0;LF;LF;LF
hd;1;0;LF;LF;LF
he;2837;8;;;HF
hg;1;0;LF;LF;LF
hi;2348;7,7;;;HF
hk;2;0,6;LF;LF;LF
hl;114;4,3;;;LF
hm;78;3,9;;;LF
hn;108;4,3;;;LF
ho;2163;7,5;;;HF
hp;4;1,2;;LF;LF
hr;455;5,8;;;
hs;48;3,5;;;LF
ht;79;4;;;LF
hu;623;6,1;;;
hw;2;0,6;LF;LF;LF
hy;799;6,3;;;
hz;2;0,6;LF;LF;LF
ia;2894;8,1;;HF;HF
ib;1289;6,8;;;
ic;3966;8,7;;HF;HF
id;1838;7,3;;;HF
ie;13141;9,8;HF;HF;HF
