bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;216810;54;;;
ab;9870833;77;;;HF
ac;16249076;83;;HF;HF
ad;14970368;82;;HF;HF
ae;2177198;69;;;
af;4444387;72;;;HF
ag;19165946;85;;HF;HF
ah;429360;61;;;
ai;10728889;79;;;HF
aj;103778;47;;;LF
ak;355874;59;;;
al;102148261;99;HF;HF;HF
am;34528927;91;HF;HF;HF
an;87876831;97;HF;HF;HF
ao;1067475;65;;;
ap;14287072;82;;HF;HF
aq;244290;55;;;
ar;79716455;96;HF;HF;HF
as;27309043;88;;HF;HF
at;91259535;97;HF;HF;HF
au;6557782;74;;;HF
av;17701102;84;;HF;HF
aw;146217;50;;;LF
ax;338299;59;;;
ay;576735;63;;;
az;30342327;89;;HF;HF
ba;10179323;78;;;HF
bb;10030635;78;;;HF
bc;62631;41;;;LF
bd;40429;36;;;LF
be;10819734;79;;;HF
bf;8800;19;;LF;LF
bg;14325;26;;;LF
bh;29034;32;;;LF
bi;19736835;85;;HF;HF
bj;60739;40;;;LF
bk;4806;13;;LF;LF
bl;5890391;74;;;HF
bm;60362;40;;;LF
bn;50733;39;;;LF
bo;5177171;73;;;HF
bp;20156;28;;;LF
bq;1352;4;LF;LF;LF
br;7751008;75;;;HF
bs;158329;51;;;
bt;21186;29;;;LF
bu;4232431;71;;;HF
bv;7051;17;;LF;LF
bw;6943;16;;LF;LF
bx;5651;14;;LF;LF
by;353594;59;;;
bz;3899;10;;LF;LF
ca;53380915;93;HF;HF;HF
cb;21139;29;;;LF
cc;17316956;84;;HF;HF
cd;226261;54;;;
ce;32173447;90;;HF;HF
cf;124939;48;;;LF
cg;144748;50;;;LF
ch;57828463;94;HF;HF;HF
ci;45882525;92;HF;HF;HF
cj;8533;19;;LF;LF
ck;773440;64;;;
cl;4098734;71;;;HF
cm;183874;53;;;
cn;1471367;67;;;
co;111779026;99;HF;HF;HF
cp;71545;43;;;LF
cq;1237297;66;;;
cr;10585130;78;;;HF
cs;178897;52;;;
ct;589662;63;;;
cu;15539116;83;;HF;HF
cv;24945;30;;;LF
cw;5821;14;;LF;LF
cx;5920;15;;LF;LF
cy;142116;49;;;LF
cz;12113;24;;;LF
da;40411450;92;HF;HF;HF
db;54360;40;;;LF
dc;95861;46;;;LF
dd;1903069;68;;;
de;103889869;99;HF;HF;HF
df;70852;43;;;LF
dg;124619;48;;;LF
dh;61827;41;;;LF
di;118614959;100;HF;HF;HF
dj;52772;39;;;LF
dk;9649;21;;;LF
dl;154503;51;;;
dm;102193;47;;;LF
dn;93654;46;;;LF
do;31586473;90;;HF;HF
dp;94950;46;;;LF
dq;1816;5;LF;LF;LF
dr;3220766;70;;;HF
ds;378865;60;;;
dt;61373;41;;;LF
du;10030389;77;;;HF
dv;126292;49;;;LF
dw;70136;42;;;LF
dx;11838;23;;;LF
dy;163759;51;;;
dz;7961;18;;LF;LF
ea;8154287;76;;;HF
eb;4943574;73;;;HF
ec;19788645;85;;HF;HF
ed;21435101;86;;HF;HF
ee;1591955;68;;;
ef;4447563;72;;;HF
eg;28022896;89;;HF;HF
eh;249882;55;;;
ei;14411855;82;;HF;HF
ej;40664;36;;;LF
ek;144559;50;;;LF
el;91603816;98;HF;HF;HF
em;20803560;86;;HF;HF
en;108293992;99;HF;HF;HF
eo;3034307;70;;;
ep;3712060;70;;;HF
eq;1178154;66;;;
er;129153823;100;HF;HF;HF
es;71967003;96;HF;HF;HF
et;36913512;91;HF;HF;HF
eu;2753474;69;;;
ev;13786731;81;;HF;HF
ew;503426;62;;;
ex;924960;65;;;
ey;306173;58;;;
ez;6333430;74;;;HF
fa;15170715;83;;HF;HF
fb;14228;25;;;LF
fc;37346;35;;;LF
fd;12271;24;;;LF
fe;12396974;80;;HF;HF
ff;8873804;76;;;HF
fg;64302;42;;;LF
fh;3142;8;LF;LF;LF
fi;23209793;87;;HF;HF
fj;2342;7;LF;LF;LF
fk;8586;19;;LF;LF
fl;1394781;67;;;
fm;28745;32;;;LF
fn;23152;30;;;LF
fo;14020326;81;;HF;HF
fp;24692;30;;;LF
fq;801;2;LF;LF;LF
fr;6574980;74;;;HF
fs;53956;40;;;LF
ft;340617;59;;;
fu;4367915;71;;;HF
fv;4113;11;;LF;LF
fw;8950;19;;LF;LF
fx;6389;16;;LF;LF
fy;45613;37;;;LF
fz;1951;6;LF;LF;LF
ga;12320342;80;;;HF
gb;49352;38;;;LF
gc;32771;33;;;LF
gd;37386;35;;;LF
ge;17195816;84;;HF;HF
gf;16228;26;;;LF
gg;14134148;81;;HF;HF
gh;2206978;69;;;
gi;34182310;90;HF;HF;HF
gj;4509;12;;LF;LF
gk;8146;19;;LF;LF
gl;20294194;86;;HF;HF
gm;197557;53;;;
gn;10970948;79;;;HF
go;10026311;77;;;HF
gp;61846;41;;;LF
gq;1143;4;LF;LF;LF
gr;11704617;80;;;HF
gs;210419;53;;;
gt;88594;45;;;LF
gu;8652643;76;;;HF
gv;16426;26;;;LF
gw;16711;27;;;LF
gx;2015;6;LF;LF;LF
gy;62652;41;;;LF
gz;4410;11;;LF;LF
ha;9974212;77;;;HF
hb;14410;26;;;LF
hc;21536;29;;;LF
hd;48363;38;;;LF
he;42637797;92;HF;HF;HF
hf;7084;17;;LF;LF
hg;6158;15;;LF;LF
hh;41083;36;;;LF
hi;14755069;82;;HF;HF
hj;2427;7;LF;LF;LF
hk;11076;22;;;LF
hl;58357;40;;;LF
hm;82694;44;;;LF
hn;165638;52;;;
ho;2772215;70;;;
hp;46005;37;;;LF
hq;3513;10;LF;LF;LF
hr;239291;54;;;
hs;31238;33;;;LF
ht;436448;61;;;
hu;272908;56;;;
hv;5718;14;;LF;LF
hw;31091;33;;;LF
hx;1420;4;LF;LF;LF
hy;73716;43;;;LF
hz;27173;31;;;LF
ia;63001418;95;HF;HF;HF
ib;9379464;77;;;HF
ic;60913072;95;HF;HF;HF
id;13724063;81;;HF;HF
ie;28505700;89;;HF;HF
if;10711188;78;;;HF
ig;13271311;81;;HF;HF
ih;41929;36;;;LF
ii;1000674;65;;;
ij;52998;39;;;LF
ik;260190;56;;;
il;55356835;94;HF;HF;HF
im;29579582;89;;HF;HF
in;102271010;99;HF;HF;HF
io;95833097;98;HF;HF;HF
ip;7974734;75;;;HF
iq;345970;59;;;
ir;16695018;83;;HF;HF
is;49691791;93;HF;HF;HF
it;58856569;95;HF;HF;HF
iu;8912304;76;;;HF
iv;28143645;89;;HF;HF
iw;19793;28;;;LF
ix;196972;53;;;
iy;30342;32;;;LF
iz;16997458;84;;HF;HF
ja;463013;61;;;
jb;3862;10;;LF;LF
jc;3183;8;LF;LF;LF
jd;5043;13;;LF;LF
je;304392;57;;;
jf;5834;14;;LF;LF
jg;848;2;LF;LF;LF
jh;3041;8;LF;LF;LF
ji;85871;44;;;LF
jj;3267;9;LF;LF;LF
jk;6493;16;;LF;LF
jl;4463;11;;LF;LF
jm;4680;12;;LF;LF
jn;4537;12;;LF;LF
jo;402428;60;;;
jp;12373;24;;;LF
jq;0;0;LF;LF;LF
jr;10500;22;;;LF
js;5929;15;;LF;LF
jt;12856;24;;;LF
ju;327690;58;;;
jv;2155;6;LF;LF;LF
jw;395;1;LF;LF;LF
jx;0;0;LF;LF;LF
jy;674;2;LF;LF;LF
jz;641;2;LF;LF;LF
ka;498027;62;;;
kb;64972;42;;;LF
kc;7231;17;;LF;LF
kd;7451;18;;LF;LF
ke;875531;65;;;
kf;18965;27;;;LF
kg;74898;43;;;LF
kh;62994;41;;;LF
ki;565563;62;;;
kj;5282;13;;LF;LF
kk;45897;37;;;LF
kl;71380;43;;;LF
km;157875;51;;;
kn;53481;40;;;LF
ko;301458;57;;;
kp;8137;18;;LF;LF
kq;1070;3;LF;LF;LF
kr;93525;46;;;LF
ks;147030;50;;;
kt;51273;39;;;LF
ku;137624;49;;;LF
kv;4973;13;;LF;LF
kw;24376;30;;;LF
kx;2785;7;LF;LF;LF
ky;136716;49;;;LF
kz;1147;4;LF;LF;LF
la;93844322;98;HF;HF;HF
lb;790714;64;;;
lc;3960341;71;;;HF
ld;1284012;66;;;
le;81618074;97;HF;HF;HF
lf;446965;61;;;
lg;1526131;67;;;
lh;31643;33;;;LF
li;78208478;96;HF;HF;HF
lj;9179;20;;LF;LF
lk;97933;47;;;LF
ll;85777471;97;HF;HF;HF
lm;4024573;71;;;HF
ln;100151;47;;;LF
