bigram;freq;percentile_100;freq10;freq20;freq30_50
aå;1287;2,66732E-05;LF;;LF
åa;10103;0,000209386;LF;;LF
åå;6695;0,000138754;LF;;LF
aæ;176;3,64761E-06;LF;;LF
åæ;24;4,97402E-07;LF;;LF
ab;2970446;0,061562736;HF;;HF
åb;105269;0,002181709;LF;;LF
åc;103;2,13468E-06;LF;;LF
ad;11478005;0,23788257;HF;;HF
åd;3014367;0,062473003;HF;;HF
æa;108;2,23831E-06;LF;;LF
æå;103;2,13468E-06;LF;;LF
ææ;19982;0,000414129;LF;;LF
æb;18917;0,000392056;LF;;LF
æc;454;9,40919E-06;LF;;LF
æd;141344;0,002929366;LF;;LF
æe;2379;4,9305E-05;LF;;LF
æf;14487;0,000300244;LF;;LF
æg;77882;0,001614111;LF;;LF
æh;33459;0,000693441;LF;;LF
æi;1452;3,00928E-05;LF;;LF
æj;157;3,25384E-06;LF;;LF
æk;214571;0,004447002;LF;;LF
æl;110617;0,002292546;LF;;LF
æm;10262;0,000212681;LF;;LF
æn;28909;0,000599141;LF;;LF
æo;44;9,11904E-07;LF;;LF
æø;123;2,54919E-06;LF;;LF
æp;105446;0,002185377;LF;;LF
ær;10667270;0,22108003;HF;;HF
æs;125949;0,002610304;LF;;LF
æt;107184;0,002221397;LF;;LF
æu;2457;5,09215E-05;LF;;LF
æv;48443;0,001003985;LF;;LF
æw;19;3,93777E-07;LF;;LF
æx;27;5,59577E-07;LF;;LF
æy;37;7,66828E-07;LF;;LF
æz;34;7,04653E-07;LF;;LF
af;3947571;0,08181373;HF;;HF
åf;291988;0,006051475;LF;;LF
ag;19152770;0,39694273;HF;;HF
åh;21656;0,000448822;LF;;LF
åi;25720;0,000533049;LF;;LF
aj;225166;0,004666584;LF;;LF
åj;7284;0,000150962;LF;;LF
ak;16512551;0,34222394;HF;;HF
al;37236570;0,77173096;HF;;HF
ål;3356876;0,06957153;HF;;HF
am;17600058;0,36476266;HF;;HF
åm;120028;0,00248759;LF;;LF
an;78097856;1,6185844;HF;;HF
ao;268012;0,00555457;LF;;LF
aø;3287;6,81233E-05;LF;;LF
åo;10466;0,000216909;LF;;LF
åø;2045;4,23828E-05;LF;;LF
ap;7435729;0,1541061;HF;;HF
aq;52932;0,00109702;LF;;LF
åq;16;3,31601E-07;LF;;LF
ar;58084805;1,2038122;HF;;HF
år;14838669;0,30753264;HF;;HF
as;17606155;0,364889;HF;;HF
at;37527959;0,77777;HF;;HF
åt;4398543;0,09116016;HF;;HF
au;2972112;0,061597265;HF;;HF
åu;1674;3,46938E-05;LF;;LF
av;25555770;0,52964544;HF;;HF
åv;391267;0,008109041;LF;;LF
aw;176482;0,003657604;LF;;LF
åw;51;1,05698E-06;LF;;LF
ax;208917;0,004329822;LF;;LF
åx;24;4,97402E-07;LF;;LF
åy;157;3,25384E-06;LF;;LF
az;429924;0,00891021;LF;;LF
åz;50;1,03625E-06;LF;;LF
ba;13621503;0,28230676;HF;;HF
bc;114425;0,002371467;LF;;LF
bd;135396;0,002806093;LF;;LF
be;22156569;0,45919672;HF;;HF
bf;19076;0,000395352;LF;;LF
bg;9948;0,000206173;LF;;LF
bh;44563;0,000923572;LF;;LF
bi;6079201;0,12599194;HF;;HF
bk;183066;0,003794058;LF;;LF
