bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;90212;5,4;;;
ab;705520;8,1;;HF;HF
ac;2310116;9,3;HF;HF;HF
ad;1680469;9,0;;HF;HF
ae;77888;5,3;;;
af;114058;5,8;;;
ag;363172;7,2;;;HF
ah;68575;5,2;;;
ai;118169;5,9;;;
aj;2052251;9,1;HF;HF;HF
ak;3201371;9,5;HF;HF;HF
al;2475398;9,4;HF;HF;HF
am;3638264;9,6;HF;HF;HF
an;3533774;9,6;HF;HF;HF
ao;38144;4,6;;;LF
ap;1038041;8,4;;HF;HF
aq;2806;2,8;;;LF
ar;2344186;9,3;HF;HF;HF
as;2387317;9,3;HF;HF;HF
at;1529851;8,9;;HF;HF
au;228240;6,6;;;
av;55047;4,9;;;LF
aw;1848439;9,1;HF;HF;HF
ax;18141;4,0;;;LF
ay;93061;5,5;;;
az;1104333;8,6;;HF;HF
ba;1180281;8,7;;HF;HF
bb;29077;4,3;;;LF
bc;83437;5,3;;;
bd;3316;2,9;;;LF
be;463003;7,5;;;HF
bf;844;1,9;;LF;LF
bg;1729;2,3;;;LF
bh;2424;2,6;;;LF
bi;2144459;9,2;HF;HF;HF
bj;7492;3,4;;;LF
bk;75883;5,2;;;
bl;244195;6,7;;;
bm;9291;3,5;;;LF
bn;91023;5,4;;;
bo;806599;8,2;;HF;HF
bp;288;1,3;;LF;LF
bq;43;0,6;LF;LF;LF
br;1169030;8,7;;HF;HF
bs;62806;5,1;;;
bt;10264;3,6;;;LF
bu;397984;7,3;;;HF
bv;73;0,8;LF;LF;LF
bw;6294;3,3;;;LF
bx;19;0,2;LF;LF;LF
by;2236754;9,2;HF;HF;HF
bz;12402;3,8;;;LF
ca;767594;8,1;;HF;HF
cb;1445;2,2;;;LF
cc;14239;3,9;;;LF
cd;3073;2,8;;;LF
ce;1159406;8,6;;HF;HF
cf;579;1,6;;LF;LF
cg;3179;2,9;;;LF
ch;4341884;9,8;HF;HF;HF
ci;4477750;9,8;HF;HF;HF
cj;522235;7,6;;;HF
ck;234244;6,7;;;
cl;42036;4,7;;;LF
cm;6254;3,3;;;LF
cn;58797;5,0;;;LF
co;1899923;9,1;HF;HF;HF
cp;1312;2,1;;;LF
cq;2181;2,5;;;LF
cr;29091;4,3;;;LF
cs;2631;2,7;;;LF
ct;33564;4,4;;;LF
cu;229345;6,6;;;
cv;678;1,8;;LF;LF
cw;2996;2,8;;;LF
cx;33;0,5;LF;LF;LF
cy;631026;7,9;;;HF
cz;4998150;9,9;HF;HF;HF
da;1743976;9,0;HF;HF;HF
db;56273;5,0;;;LF
dc;127191;6,0;;;
