bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;154;4,38;;;LF
ab;788275;8,69;;HF;HF
ac;868574;8,8;;HF;HF
ad;2084601;9,52;HF;HF;HF
ae;10919;6,13;;;
af;91626;6,94;;;
ag;523825;8,28;;HF;HF
ah;26097;6,41;;;
ai;1231958;9,05;HF;HF;HF
aj;144095;7,28;;;HF
ak;3047;5,62;;;
al;2052788;9,49;HF;HF;HF
am;2100697;9,55;HF;HF;HF
an;2190621;9,58;HF;HF;HF
ao;234052;7,74;;;HF
ap;527845;8,29;;HF;HF
aq;497364;8,25;;HF;HF
ar;4933010;9,95;HF;HF;HF
as;3719174;9,86;HF;HF;HF
at;746914;8,65;;HF;HF
au;149802;7,33;;;HF
av;693699;8,57;;HF;HF
aw;29;3,71;;;LF
ax;12058;6,17;;;
ay;9291;6,05;;;
az;553301;8,4;;HF;HF
ba;537735;8,37;;HF;HF
bb;569;4,9;;;LF
bc;2113;5,4;;;
bd;1792;5,31;;;
be;1050140;8,96;;HF;HF
bf;0;0;LF;LF;LF
bg;31;3,74;;;LF
bh;0;0;LF;LF;LF
bi;182852;7,6;;;HF
bj;5718;5,89;;;
bk;0;0;LF;LF;LF
bl;97754;7,03;;;HF
bm;3462;5,65;;;
bn;87;4,04;;;LF
bo;534427;8,32;;HF;HF
bp;56;3,88;;;LF
bq;0;0;LF;LF;LF
br;585469;8,42;;HF;HF
bs;29938;6,47;;;
bt;7658;5,94;;;
bu;81836;6,85;;;
bv;8838;6,04;;;
bw;18;3,64;;;LF
bx;0;0;LF;LF;LF
by;1627;5,27;;;
bz;0;0;LF;LF;LF
ca;2009333;9,46;HF;HF;HF
cb;0;0;LF;LF;LF
cc;3948;5,71;;;
cd;0;0;LF;LF;LF
ce;991672;8,91;;HF;HF
cf;0;0;LF;LF;LF
cg;0;0;LF;LF;LF
ch;649991;8,47;;HF;HF
ci;1029049;8,94;;HF;HF
cj;0;0;LF;LF;LF
ck;8354;6,01;;;
cl;153387;7,36;;;HF
cm;44;3,82;;;LF
cn;9816;6,1;;;
co;3581166;9,85;HF;HF;HF
cp;0;0;LF;LF;LF
cq;0;0;LF;LF;LF
cr;307600;7,89;;;HF
cs;1037;5,09;;;
ct;150056;7,34;;;HF
cu;495714;8,23;;HF;HF
cv;0;0;LF;LF;LF
cw;0;0;LF;LF;LF
cx;0;0;LF;LF;LF
cy;140;4,34;;;LF
cz;331;4,68;;;LF
da;2587414;9,64;HF;HF;HF
db;63;3,92;;;LF
dc;213;4,47;;;LF
dd;144;4,35;;;LF
de;5244328;9,97;HF;HF;HF
df;0;0;LF;LF;LF
dg;702;4,96;;;LF
dh;9;3,49;;;LF
di;1543735;9,25;HF;HF;HF
dj;1370;5,21;;;
dk;999;5,08;;;
dl;134;4,32;;;LF
dm;15260;6,26;;;
dn;1992;5,37;;;
do;3502096;9,8;HF;HF;HF
dp;11;3,55;;;LF
dq;2270;5,43;;;
dr;93686;6,97;;;
ds;766;4,97;;;LF
dt;0;0;LF;LF;LF
du;171627;7,52;;;HF
dv;12133;6,19;;;
dw;284;4,63;;;LF
dx;0;0;LF;LF;LF
dy;2528;5,49;;;
dz;0;0;LF;LF;LF
ea;149642;7,31;;;HF
eb;166521;7,49;;;HF
ec;981619;8,9;;HF;HF
ed;355172;7,97;;;HF
ee;31505;6,5;;;
ef;130491;7,21;;;HF
eg;586749;8,44;;HF;HF
eh;8205;5,98;;;
ei;1559245;9,27;HF;HF;HF
ej;173432;7,54;;;HF
ek;262;4,56;;;LF
el;1926172;9,45;HF;HF;HF
em;3103931;9,73;HF;HF;HF
en;3554446;9,83;HF;HF;HF
eo;74622;6,82;;;
ep;229103;7,7;;;HF
eq;100505;7,06;;;HF
er;4481036;9,92;HF;HF;HF
es;5815720;10;HF;HF;HF
et;337025;7,95;;;HF
eu;1819027;9,4;HF;HF;HF
ev;474542;8,2;;HF;HF
ew;208;4,45;;;LF
ex;262940;7,83;;;HF
ey;498;4,84;;;LF
ez;372876;7,98;;;HF
fa;973864;8,87;;HF;HF
fb;0;0;LF;LF;LF
fc;0;0;LF;LF;LF
fd;0;0;LF;LF;LF
fe;417639;8,05;;HF;HF
ff;3599;5,67;;;
fg;0;0;LF;LF;LF
fh;0;0;LF;LF;LF
fi;707011;8,59;;HF;HF
fj;0;0;LF;LF;LF
fk;7;3,4;;;LF
fl;33074;6,53;;;
fm;0;0;LF;LF;LF
fn;0;0;LF;LF;LF
fo;681766;8,54;;HF;HF
fp;0;0;LF;LF;LF
fq;0;0;LF;LF;LF
fr;128911;7,18;;;HF
fs;115;4,2;;;LF
ft;1475;5,24;;;
fu;161725;7,42;;;HF
fv;0;0;LF;LF;LF
fw;0;0;LF;LF;LF
fx;0;0;LF;LF;LF
fy;0;0;LF;LF;LF
fz;0;0;LF;LF;LF
ga;900434;8,82;;HF;HF
gb;157;4,4;;;LF
gc;0;0;LF;LF;LF
gd;98;4,11;;;LF
