bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;3356;4,43;;;LF
aä;43;1,63;;LF;LF
aå;195;2,55;;;LF
äa;21;1,25;;LF;LF
ää;2531;4,17;;;LF
äå;3;0,42;LF;LF;LF
åa;1103;3,6;;;LF
åä;75;1,91;;LF;LF
åå;7800;5,19;;;
ab;40906;6,93;;;
äb;495;3,17;;;LF
åb;3174;4,34;;;LF
ac;62045;7,6;;;HF
äc;21037;6,21;;;
åc;90;2,03;;;LF
ad;384829;9,42;HF;HF;HF
äd;44516;7,06;;;HF
åd;43380;7,04;;;HF
ae;804;3,46;;;LF
äe;214;2,62;;;LF
åe;5452;4,85;;;LF
af;47363;7,2;;;HF
äf;11160;5,54;;;
åf;1747;3,87;;;LF
ag;769171;9,82;HF;HF;HF
äg;105194;8,3;;HF;HF
åg;134058;8,62;;HF;HF
ah;13340;5,79;;;
äh;193;2,53;;;LF
åh;4767;4,71;;;LF
ai;16217;5,96;;;
äi;26;1,39;;LF;LF
åi;26;1,39;;LF;LF
aj;10402;5,47;;;
äj;93;2,04;;;LF
åj;137;2,3;;;LF
ak;157195;8,77;;HF;HF
äk;32964;6,72;;;
åk;38030;6,88;;;
al;378072;9,4;HF;HF;HF
äl;239076;9,12;HF;HF;HF
ål;69574;7,75;;;HF
am;205744;8,97;;HF;HF
äm;55711;7,42;;;HF
åm;2176;4,06;;;LF
an;1059656;9,92;HF;HF;HF
än;389012;9,45;HF;HF;HF
ån;214680;9,01;HF;HF;HF
ao;2779;4,24;;;LF
aö;47;1,69;;LF;LF
äo;12;1,06;;LF;LF
äö;7;0,81;LF;LF;LF
åo;61;1,78;;LF;LF
åö;30;1,5;;LF;LF
ap;71826;7,83;;;HF
äp;12860;5,7;;;
åp;3229;4,38;;;LF
aq;79;1,98;;LF;LF
ar;1418975;9,96;HF;HF;HF
är;795103;9,87;HF;HF;HF
år;240845;9,13;HF;HF;HF
as;264332;9,2;HF;HF;HF
äs;96678;8,21;;HF;HF
ås;46822;7,14;;;HF
at;899110;9,89;HF;HF;HF
ät;143538;8,7;;HF;HF
åt;95054;8,16;;HF;HF
au;12059;5,63;;;
äu;1;0;LF;LF;LF
åu;9;0,92;LF;LF;LF
av;217807;9,05;HF;HF;HF
äv;58915;7,51;;;HF
åv;5654;4,91;;;LF
aw;2405;4,15;;;LF
ax;10116;5,44;;;
äx;8065;5,22;;;
åx;3;0,42;LF;LF;LF
ay;12724;5,68;;;
äy;4;0,57;LF;LF;LF
åy;2;0,22;LF;LF;LF
az;1929;3,93;;;LF
åz;11;0,99;LF;LF;LF
ba;217062;9,03;HF;HF;HF
bä;46716;7,13;;;HF
bå;25262;6,35;;;
bb;58539;7,5;;;HF
bc;77;1,95;;LF;LF
bd;544;3,25;;;LF
be;191452;8,91;;HF;HF
bé;16;1,15;;LF;LF
bf;341;2,95;;;LF
bg;124;2,21;;;LF
bh;509;3,18;;;LF
bi;91440;8,11;;HF;HF
bj;12586;5,67;;;
bk;304;2,9;;;LF
bl;217584;9,04;HF;HF;HF
bm;370;3,03;;;LF
bn;517;3,2;;;LF
bo;85848;8,07;;HF;HF
bö;46160;7,11;;;HF
bp;346;2,97;;;LF
bq;31;1,54;;LF;LF
br;119530;8,5;;HF;HF
bs;8830;5,33;;;
bt;6197;5,02;;;
bu;34124;6,76;;;
bv;417;3,06;;;LF
bw;17;1,16;;LF;LF
bx;13;1,07;;LF;LF
by;26777;6,43;;;
bz;1;0;LF;LF;LF
ca;26460;6,37;;;
cä;3;0,42;LF;LF;LF
cå;1;0;LF;LF;LF
cb;46;1,68;;LF;LF
cc;5110;4,81;;;LF
cd;41;1,62;;LF;LF
ce;48971;7,24;;;HF
