bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;9;32;;;LF
ab;1439;89;;HF;HF
ac;1845;92;HF;HF;HF
ad;1251;88;;HF;HF
ae;133;59;;;
af;328;68;;;
ag;976;83;;HF;HF
ah;81;53;;;
ai;1113;86;;HF;HF
aj;33;44;;;LF
ak;431;71;;;HF
al;4056;98;HF;HF;HF
am;1085;86;;HF;HF
an;4288;99;HF;HF;HF
ao;28;43;;;LF
ap;993;84;;HF;HF
aq;24;41;;;LF
ar;3991;98;HF;HF;HF
as;1800;92;HF;HF;HF
at;4710;99;HF;HF;HF
au;569;75;;;HF
av;467;71;;;HF
aw;388;69;;;
ax;97;55;;;
ay;656;77;;;HF
az;118;57;;;
ba;1102;86;;HF;HF
bb;199;63;;;
bc;13;35;;;LF
bd;18;38;;;LF
be;1064;85;;HF;HF
bf;5;29;;;LF
bg;2;23;;;LF
bh;9;32;;;LF
bi;810;80;;HF;HF
bj;35;45;;;LF
bk;2;23;;;LF
bl;1667;91;HF;HF;HF
bm;18;38;;;LF
bn;18;38;;;LF
bo;1141;87;;HF;HF
bp;2;23;;;LF
bq;0;0;LF;LF;LF
br;727;79;;;HF
bs;175;62;;;
bt;47;47;;;LF
bu;583;75;;;HF
bv;11;35;;;LF
bw;8;32;;;LF
bx;0;0;LF;LF;LF
by;139;60;;;
bz;0;0;LF;LF;LF
ca;2494;95;HF;HF;HF
cb;1;17;;LF;LF
cc;212;64;;;
cd;3;25;;;LF
ce;1985;93;HF;HF;HF
cf;1;17;;LF;LF
cg;1;17;;LF;LF
ch;1987;93;HF;HF;HF
ci;1103;86;;HF;HF
cj;0;0;LF;LF;LF
ck;1464;89;;HF;HF
cl;695;79;;;HF
cm;4;27;;;LF
cn;3;25;;;LF
co;2962;96;HF;HF;HF
cp;3;25;;;LF
cq;18;38;;;LF
cr;958;83;;HF;HF
cs;95;55;;;
ct;1150;87;;HF;HF
cu;766;80;;;HF
cv;0;0;LF;LF;LF
cw;2;23;;;LF
cx;0;0;LF;LF;LF
cy;276;66;;;
cz;7;31;;;LF
da;733;79;;;HF
db;36;45;;;LF
dc;28;43;;;LF
dd;296;67;;;
de;2822;96;HF;HF;HF
df;40;46;;;LF
dg;166;61;;;
dh;28;43;;;LF
di;2058;94;HF;HF;HF
dj;32;44;;;LF
dk;4;27;;;
dl;518;74;;;HF
dm;71;52;;;
dn;155;61;;;
do;918;82;;HF;HF
dp;24;41;;;LF
dq;2;23;;;LF
dr;520;74;;;HF
ds;204;63;;;
dt;17;38;;;LF
du;445;71;;;HF
dv;61;50;;;
dw;65;51;;;
dx;0;0;LF;LF;LF
dy;209;64;;;
dz;1;17;;LF;LF
ea;2395;95;HF;HF;HF
eb;239;65;;;
ec;1389;89;;HF;HF
ed;2354;95;HF;HF;HF
ee;1238;88;;HF;HF
ef;558;75;;;HF
eg;471;72;;;HF
eh;117;57;;;
ei;323;68;;;
ej;42;46;;;LF
