bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;1534443;99;HF;HF;HF
ab;13744;62;;;
ac;11216;61;;;
ad;60147;72;;;HF
ae;29853;68;;;
af;10520;61;;;
ag;15258;63;;;
ah;210597;83;;HF;HF
ai;1266325;98;HF;HF;HF
aj;258279;85;;HF;HF
ak;430723;89;;HF;HF
al;1104003;97;HF;HF;HF
am;345415;88;;HF;HF
an;1916765;99;HF;HF;HF
ao;13305;62;;;
ap;186130;81;;HF;HF
aq;273;26;;;LF
ar;603944;92;HF;HF;HF
as;772768;94;HF;HF;HF
at;845589;96;HF;HF;HF
au;351067;88;;HF;HF
av;308697;86;;HF;HF
aw;1829;46;;;LF
ax;2853;50;;;LF
ay;9136;59;;;
az;3885;53;;;
ba;23697;67;;;
bb;1907;46;;;LF
bc;425;31;;;LF
bd;261;26;;;LF
be;29130;68;;;
bf;70;15;;LF;LF
bg;27;9;LF;LF;LF
bh;229;24;;;LF
bi;20142;66;;;
bj;2222;48;;;LF
bk;514;33;;;LF
bl;4987;55;;;
bm;376;30;;;LF
bn;71;15;;LF;LF
bo;19328;66;;;
bp;16;7;LF;LF;LF
bq;2;3;LF;LF;LF
br;15690;63;;;
bs;2136;47;;;LF
bt;115;19;;LF;LF
bu;14609;63;;;
bv;120;19;;LF;LF
bw;166;21;;;LF
bx;9;6;LF;LF;LF
by;3189;51;;;
bz;0;0;LF;LF;LF
ca;14406;63;;;
cb;206;24;;;LF
cc;1266;42;;;LF
cd;1427;43;;;LF
ce;7676;58;;;
cf;107;18;;LF;LF
cg;148;21;;;LF
ch;22434;66;;;
ci;6648;57;;;
cj;43;12;;LF;LF
ck;10687;61;;;
cl;4652;54;;;
cm;633;36;;;LF
cn;155;21;;;LF
co;11680;62;;;
cp;112;18;;LF;LF
cq;685;37;;;LF
cr;2510;49;;;LF
cs;736;37;;;LF
ct;2844;50;;;LF
cu;5017;55;;;
cv;80;16;;LF;LF
cw;5;4;LF;LF;LF
cx;30;11;;LF;LF
cy;556;34;;;LF
cz;376;30;;;LF
da;89762;74;;;HF
db;1486;44;;;LF
dc;299;27;;;LF
dd;2616;49;;;LF
de;511136;91;HF;HF;HF
df;384;30;;;LF
dg;888;40;;;LF
dh;1491;44;;;LF
di;112836;76;;;HF
dj;5038;55;;;
dk;333;29;;;LF
dl;1641;45;;;LF
dm;1910;47;;;LF
dn;1072;41;;;LF
do;126659;77;;;HF
dp;3754;52;;;
dq;428;31;;;LF
dr;8514;59;;;
ds;4736;54;;;
dt;2418;48;;;LF
du;60265;72;;;HF
dv;649;36;;;LF
dw;1719;46;;;LF
dx;92;16;;LF;LF
dy;29387;68;;;
dz;1434;44;;;LF
ea;113230;76;;;HF
eb;4853;55;;;
ec;6658;57;;;
ed;120482;76;;;HF
ee;677694;93;HF;HF;HF
ef;4440;53;;;
eg;10754;61;;;
eh;205419;82;;HF;HF
ei;712109;93;HF;HF;HF
ej;28158;68;;;
ek;243268;84;;HF;HF
el;1071087;97;HF;HF;HF
em;282367;86;;HF;HF
en;2564722;100;HF;HF;HF
eo;41787;70;;;HF
ep;44389;71;;;HF
eq;168;22;;;LF
er;625119;92;HF;HF;HF
es;797102;95;HF;HF;HF
et;989497;96;HF;HF;HF
eu;179503;81;;HF;HF
ev;153711;79;;;HF
ew;4515;54;;;
ex;2593;49;;;LF
ey;32271;69;;;
ez;1531;44;;;LF
fa;10218;60;;;
fb;128;20;;LF;LF
fc;286;27;;;LF
fd;51;13;;LF;LF
fe;15937;64;;;
ff;3557;52;;;
fg;351;29;;;LF
fh;26;9;LF;LF;LF
fi;27621;68;;;
fj;401;31;;;LF
fk;1052;41;;;LF
fl;5329;56;;;
fm;370;30;;;LF
fn;127;19;;LF;LF
fo;12230;62;;;
fp;924;40;;;LF
fq;0;0;LF;LF;LF
fr;10063;60;;;
fs;624;36;;;LF
ft;1772;46;;;LF
fu;3042;50;;;
fv;196;23;;;LF
fw;9;6;LF;LF;LF
fx;16;7;LF;LF;LF
fy;2787;50;;;LF
fz;0;0;LF;LF;LF
ga;30756;69;;;
gb;586;35;;;LF
gc;21;8;LF;LF;LF
gd;527;33;;;LF
ge;39573;70;;;
gf;317;28;;;LF
gg;2000;47;;;LF
gh;4517;54;;;
gi;75872;74;;;HF
gj;94;17;;LF;LF
gk;872;39;;;LF
gl;9525;59;;;
gm;1372;43;;;LF
gn;3321;51;;;
go;19119;65;;;
gp;358;29;;;LF
gq;39;12;;LF;LF
gr;14210;63;;;
gs;1570;45;;;LF
gt;1746;46;;;LF
gu;6139;56;;;
gv;400;31;;;LF
gw;607;36;;;LF
gx;29;10;;LF;LF
gy;2286;48;;;LF
gz;23;8;LF;LF;LF
ha;357785;88;;HF;HF
hb;174;22;;;LF
hc;341;29;;;LF
hd;193858;82;;HF;HF
he;375824;88;;HF;HF
hf;66;14;;LF;LF
hg;66;14;;LF;LF
hh;1378;43;;;LF
hi;193871;82;;HF;HF
hj;57822;72;;;HF
hk;40100;70;;;HF
hl;15541;63;;;
hm;71171;73;;;HF
hn;15896;63;;;
