bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;15101;99;HF;HF;HF
ab;1388;72;;;HF
ac;4201;89;;HF;HF
ad;3523;86;;HF;HF
ae;120;39;;;LF
af;2991;84;;HF;HF
ag;3823;88;;HF;HF
ah;110;37;;;LF
ai;1243;69;;;
aj;109;37;;;LF
ak;3809;87;;HF;HF
al;7557;94;HF;HF;HF
am;4069;89;;HF;HF
an;14388;99;HF;HF;HF
ao;51;29;;;LF
ap;3257;85;;HF;HF
aq;28;26;;;LF
ar;10941;97;HF;HF;HF
as;4694;90;HF;HF;HF
at;8646;95;HF;HF;HF
au;1314;70;;;HF
av;1081;67;;;
aw;91;35;;;LF
ax;114;38;;;LF
ay;60;31;;;LF
az;460;54;;;
ba;3900;88;;HF;HF
bb;657;59;;;
bc;12;23;;;LF
bd;33;27;;;LF
be;8422;95;HF;HF;HF
bf;6;20;;LF;LF
bg;5;19;;LF;LF
bh;6;20;;LF;LF
bi;2014;78;;;HF
bj;53;29;;;LF
bk;10;22;;;LF
bl;1959;77;;;HF
bm;11;23;;;LF
bn;4;17;;LF;LF
bo;4123;89;;HF;HF
bp;1;10;LF;LF;LF
bq;0;0;LF;LF;LF
br;2416;80;;HF;HF
bs;188;44;;;LF
bt;124;39;;;LF
bu;1225;69;;;
bv;6;20;;LF;LF
bw;3;15;;LF;LF
bx;0;0;LF;LF;LF
by;74;33;;;LF
bz;7;21;;;LF
ca;1581;74;;;HF
cb;4;17;;LF;LF
cc;246;47;;;LF
cd;1;10;LF;LF;LF
ce;1836;76;;;HF
cf;2;13;;LF;LF
cg;3;15;;LF;LF
ch;15247;99;HF;HF;HF
ci;1387;72;;;HF
cj;1;10;LF;LF;LF
ck;256;48;;;LF
cl;487;55;;;
cm;3;15;;LF;LF
cn;6;20;;LF;LF
co;3072;85;;HF;HF
cp;1;10;LF;LF;LF
cq;15;24;;;LF
cr;680;59;;;
cs;8;21;;;LF
ct;2140;78;;;HF
cu;1006;65;;;
cv;0;0;LF;LF;LF
cw;2;13;;LF;LF
cx;0;0;LF;LF;LF
cy;117;38;;;LF
cz;3;15;;LF;LF
da;2331;80;;;HF
db;599;58;;;
dc;75;34;;;LF
dd;1077;67;;;
de;13331;98;HF;HF;HF
df;69;32;;;LF
dg;347;52;;;
dh;721;61;;;
di;5755;92;HF;HF;HF
dj;218;46;;;LF
dk;367;52;;;
dl;271;49;;;LF
dm;287;50;;;LF
dn;72;33;;;LF
do;2585;81;;HF;HF
dp;304;51;;;
dq;0;0;LF;LF;LF
dr;2880;83;;HF;HF
ds;2945;83;;HF;HF
dt;219;46;;;LF
du;1372;71;;;HF
dv;550;57;;;
dw;530;56;;;
dx;0;0;LF;LF;LF
dy;118;39;;;LF
dz;205;46;;;LF
