bigram;freq;percentile_100;freq10;freq20;freq30-50
aa;3356;4,4;;;LF
aä;43;1,6;;LF;LF
aå;195;2,6;;;LF
äa;21;1,3;;LF;LF
ää;2531;4,2;;;LF
äå;3;0,4;LF;LF;LF
åa;1103;3,6;;;LF
åä;75;1,9;;LF;LF
åå;7800;5,2;;;
ab;40906;6,9;;;
äb;495;3,2;;;LF
åb;3174;4,3;;;LF
ac;62045;7,6;;;HF
äc;21037;6,2;;;
åc;90;2,0;;;LF
ad;384829;9,4;HF;HF;HF
äd;44516;7,1;;;HF
åd;43380;7,0;;;HF
ae;804;3,5;;;LF
äe;214;2,6;;;LF
åe;5452;4,9;;;LF
af;47363;7,2;;;HF
äf;11160;5,5;;;
åf;1747;3,9;;;LF
ag;769171;9,8;HF;HF;HF
äg;105194;8,3;;HF;HF
åg;134058;8,6;;HF;HF
ah;13340;5,8;;;
äh;193;2,5;;;LF
åh;4767;4,7;;;LF
ai;16217;6,0;;;
äi;26;1,4;;LF;LF
åi;26;1,4;;LF;LF
aj;10402;5,5;;;
äj;93;2,0;;;LF
åj;137;2,3;;;LF
ak;157195;8,8;;HF;HF
äk;32964;6,7;;;
åk;38030;6,9;;;
al;378072;9,4;HF;HF;HF
äl;239076;9,1;HF;HF;HF
ål;69574;7,8;;;HF
am;205744;9,0;;HF;HF
äm;55711;7,4;;;HF
åm;2176;4,1;;;LF
an;1059656;9,9;HF;HF;HF
än;389012;9,5;HF;HF;HF
ån;214680;9,0;HF;HF;HF
ao;2779;4,2;;;LF
aö;47;1,7;;LF;LF
äo;12;1,1;;LF;LF
äö;7;0,8;LF;LF;LF
åo;61;1,8;;LF;LF
åö;30;1,5;;LF;LF
ap;71826;7,8;;;HF
äp;12860;5,7;;;
åp;3229;4,4;;;LF
aq;79;2,0;;LF;LF
ar;1418975;10,0;HF;HF;HF
är;795103;9,9;HF;HF;HF
år;240845;9,1;HF;HF;HF
as;264332;9,2;HF;HF;HF
äs;96678;8,2;;HF;HF
ås;46822;7,1;;;HF
at;899110;9,9;HF;HF;HF
