bigram;freq;percentile_100;freq10;freq20;freq30_50
aa;893916;7,0;;;HF
ab;5445711;8,7;;HF;HF
ac;4700190;8,5;;HF;HF
ad;11429175;9,3;HF;HF;HF
ae;101601;5,1;;;
af;2707361;8,1;;HF;HF
ag;203466;5,6;;;
ah;5500833;8,7;;HF;HF
ai;1284769;7,4;;;HF
aj;458826;6,4;;;
ak;20025147;9,7;HF;HF;HF
al;20825442;9,7;HF;HF;HF
am;12818515;9,4;HF;HF;HF
an;42159748;10,0;HF;HF;HF
ao;38257;4,1;;;LF
ap;5961074;8,7;;HF;HF
aq;3492;2,9;;;LF
ar;47352102;10,0;HF;HF;HF
as;13648443;9,5;HF;HF;HF
at;11285323;9,3;HF;HF;HF
au;99764;5,1;;;
av;3306574;8,3;;HF;HF
aw;1465;2,7;;;LF
ax;0;0,0;LF;LF;LF
ay;15298599;9,6;HF;HF;HF
az;6697496;8,8;;HF;HF
ba;12373441;9,3;HF;HF;HF
bb;101650;5,1;;;
bc;23603;3,8;;;LF
bd;485269;6,5;;;
be;7407621;8,9;;HF;HF
bf;0;0,0;LF;LF;LF
bg;1058;2,6;;;LF
bh;1558;2,7;;;LF
bi;20142095;9,7;HF;HF;HF
bj;25711;3,8;;;LF
bk;471;2,3;;;LF
bl;297437;6,0;;;
bm;142413;5,3;;;
bn;37498;4,1;;;LF
bo;1960982;7,8;;;HF
bp;3818;2,9;;;LF
bq;0;0,0;LF;LF;LF
br;607018;6,8;;;
bs;4448;3,0;;;LF
bt;2099;2,8;;;LF
bu;10540263;9,2;HF;HF;HF
bv;4547;3,1;;;LF
bw;0;0,0;LF;LF;LF
bx;0;0,0;LF;LF;LF
by;59519;4,6;;;LF
bz;112653;5,2;;;
ca;7235400;8,9;;HF;HF
cb;29589;3,9;;;LF
cc;16655;3,6;;;LF
cd;93321;5,0;;;LF
ce;7432143;8,9;;HF;HF
cf;0;0,0;LF;LF;LF
cg;0;0,0;LF;LF;LF
ch;226471;5,7;;;
ci;3311898;8,3;;HF;HF
cj;0;0,0;LF;LF;LF
ck;52066;4,4;;;LF
cl;208971;5,7;;;
cm;48172;4,3;;;LF
cn;23200;3,8;;;LF
co;147249;5,4;;;
cp;0;0,0;LF;LF;LF
cq;7281;3,3;;;LF
cr;303283;6,1;;;
cs;6132;3,2;;;LF
ct;1690;2,7;;;LF
cu;2336286;8,0;;;HF
cv;3418;2,9;;;LF
cw;0;0,0;LF;LF;LF
cx;0;0,0;LF;LF;LF
cy;5903;3,2;;;LF
cz;37582;4,1;;;LF
da;26945605;9,9;HF;HF;HF
db;59091;4,5;;;LF
dc;1883;2,7;;;LF
dd;1166891;7,3;;;HF
de;31533221;9,9;HF;HF;HF
df;0;0,0;LF;LF;LF
dg;16304;3,6;;;LF
dh;6277;3,3;;;LF
di;17834403;9,7;HF;HF;HF
dj;0;0,0;LF;LF;LF
dk;63347;4,6;;;
dl;238058;5,8;;;
dm;18077;3,7;;;LF
dn;35870;4,0;;;LF
do;3045612;8,2;;HF;HF
dp;15954;3,6;;;LF
dq;0;0,0;LF;LF;LF
dr;540929;6,7;;;
ds;50027;4,4;;;LF
dt;17885;3,7;;;LF
du;6328014;8,8;;HF;HF
dv;40950;4,2;;;LF
dw;976;2,5;;;LF
dx;0;0,0;LF;LF;LF
dy;252759;5,9;;;
dz;1301;2,6;;;LF
ea;159935;5,5;;;
eb;1613531;7,6;;;HF
ec;4809576;8,6;;HF;HF
ed;10440845;9,2;HF;HF;HF
ee;110672;5,2;;;
ef;1427259;7,5;;;HF
eg;247068;5,8;;;
eh;864991;7,0;;;HF
ei;38122;4,1;;;LF
ej;165989;5,5;;;
ek;16667129;9,6;HF;HF;HF
el;16805733;9,7;HF;HF;HF
em;9903575;9,1;HF;HF;HF
en;29736874;9,9;HF;HF;HF
eo;206169;5,7;;;
ep;1244598;7,4;;;HF
eq;0;0,0;LF;LF;LF
er;40741503;10,0;HF;HF;HF
es;10487215;9,2;HF;HF;HF
et;14524991;9,5;HF;HF;HF
eu;97955;5,1;;;
ev;4719015;8,5;;HF;HF
ew;90517;4,9;;;LF
ex;0;0,0;LF;LF;LF
ey;7276739;8,9;;HF;HF
ez;2340795;8,0;;HF;HF
fa;3319529;8,3;;HF;HF
fb;14643;3,5;;;LF
fc;203;2,3;;;LF
fd;5726;3,2;;;LF
fe;1702326;7,6;;;HF
ff;73451;4,8;;;LF
fg;57406;4,5;;;LF
fh;9680;3,5;;;LF
fi;2206103;7,9;;;HF
fj;0;0,0;LF;LF;LF
fk;60421;4,6;;;LF
fl;705517;6,8;;;
fm;6159;3,2;;;LF
fn;6738;3,3;;;LF
fo;994991;7,1;;;HF
fp;21219;3,8;;;LF
fq;0;0,0;LF;LF;LF
fr;396350;6,3;;;
fs;61411;4,6;;;LF
ft;771608;6,9;;;
fu;564573;6,7;;;
fv;20;2,2;;;LF
fw;0;0,0;LF;LF;LF
fx;0;0,0;LF;LF;LF
fy;60995;4,6;;;LF
fz;2003;2,8;;;LF
ga;2033789;7,9;;;HF
gb;4157;3,0;;;LF
gc;119;2,2;;;LF
gd;57477;4,5;;;LF
ge;10112553;9,2;HF;HF;HF
gf;241;2,3;;;LF
gg;561;2,4;;;LF
gh;3170;2,9;;;LF
gi;6062465;8,8;;HF;HF
gj;0;0,0;LF;LF;LF
gk;12125;3,5;;;LF
gl;65264;4,7;;;LF
gm;40012;4,2;;;LF
gn;4972;3,1;;;LF
go;470587;6,5;;;
gp;5654;3,2;;;LF
gq;0;0,0;LF;LF;LF
gr;1043724;7,1;;;HF
gs;28220;3,9;;;LF
gt;0;0,0;LF;LF;LF
gu;1284129;7,4;;;HF
gv;559;2,4;;;LF
gw;0;0,0;LF;LF;LF
gx;0;0,0;LF;LF;LF
gy;280;2,3;;;LF
gz;17208;3,7;;;LF
ha;10924632;9,3;HF;HF;HF
hb;126183;5,2;;;
hc;6494;3,3;;;LF
hd;143819;5,4;;;
he;3504714;8,4;;HF;HF
hf;4251;3,0;;;LF
hg;157;2,3;;;LF
hh;50257;4,4;;;LF
hi;3182507;8,2;;HF;HF
hj;0;0,0;LF;LF;LF
hk;254841;5,9;;;
hl;486977;6,6;;;
hm;528758;6,7;;;
hn;189038;5,6;;;
ho;417280;6,4;;;
hp;129027;5,3;;;
hq;0;0,0;LF;LF;LF
hr;403454;6,3;;;
hs;261071;5,9;;;
ht;533878;6,7;;;
hu;813990;6,9;;;
hv;81682;4,9;;;LF
hw;0;0,0;LF;LF;LF
hx;0;0,0;LF;LF;LF
hy;39595;4,2;;;LF
hz;22953;3,8;;;LF
ia;475410;6,5;;;
ib;2175613;7,9;;;HF
ic;1190688;7,3;;;HF
id;2958774;8,2;;HF;HF
ie;69760;4,7;;;LF
if;1384046;7,5;;;HF
ig;390779;6,3;;;
ih;2026679;7,8;;;HF
ii;361092;6,2;;;
ij;66030;4,7;;;LF
ik;10214300;9,2;HF;HF;HF
il;25060009;9,9;HF;HF;HF
im;9499473;9,1;HF;HF;HF
in;37102305;9,9;HF;HF;HF
io;58442;4,5;;;LF
ip;1567491;7,6;;;HF
iq;0;0,0;LF;LF;LF
ir;23612934;9,8;HF;HF;HF
is;9593410;9,1;HF;HF;HF
it;4828469;8,6;;HF;HF
iu;55;2,2;;;LF
iv;731647;6,9;;;
iw;0;0,0;LF;LF;LF
ix;0;0,0;LF;LF;LF
iy;12647673;9,4;HF;HF;HF
iz;7855878;8,9;;HF;HF
ja;256790;5,9;;;
jb;0;0,0;LF;LF;LF
jc;1263;2,6;;;LF
jd;42215;4,2;;;LF
je;399862;6,3;;;
jf;0;0,0;LF;LF;LF
jg;629;2,4;;;LF
jh;0;0,0;LF;LF;LF
ji;670956;6,8;;;
jj;0;0,0;LF;LF;LF
jk;6141;3,2;;;LF
jl;93679;5,0;;;LF
jm;8270;3,4;;;LF
jn;172;2,3;;;LF
jo;73061;4,8;;;LF
jp;0;0,0;LF;LF;LF
jq;0;0,0;LF;LF;LF
jr;1013;2,6;;;LF
js;941;2,5;;;LF
jt;0;0,0;LF;LF;LF
ju;26867;3,9;;;LF
jv;0;0,0;LF;LF;LF
jw;0;0,0;LF;LF;LF
jx;0;0,0;LF;LF;LF
jy;9650;3,4;;;LF
jz;0;0,0;LF;LF;LF
ka;22130369;9,8;HF;HF;HF
kb;83855;4,9;;;LF
kc;37232;4,1;;;LF
kd;178034;5,5;;;
ke;8511141;9,0;HF;HF;HF
kf;48324;4,3;;;LF
kg;24234;3,8;;;LF
kh;45655;4,3;;;LF
ki;13267080;9,4;HF;HF;HF
kj;16;2,1;;;LF
kk;1102986;7,2;;;HF
kl;10168775;9,2;HF;HF;HF
km;926089;7,1;;;HF
kn;424998;6,4;;;
ko;6134156;8,8;;HF;HF
kp;94750;5,0;;;LF
kq;0;0,0;LF;LF;LF
kr;1412497;7,5;;;HF
ks;1958438;7,8;;;HF
kt;5877178;8,7;;HF;HF
ku;5375936;8,7;;HF;HF
kv;49806;4,4;;;LF
kw;819;2,5;;;LF
kx;0;0,0;LF;LF;LF
ky;98392;5,1;;;
kz;2352;2,8;;;LF
la;44729911;10,0;HF;HF;HF
lb;335082;6,1;;;
lc;464605;6,5;;;
ld;8132576;9,0;;HF;HF
le;38660225;9,9;HF;HF;HF
lf;38289;4,2;;;LF
lg;2324730;8,0;;;HF
lh;81300;4,8;;;LF
li;20654867;9,7;HF;HF;HF
lj;5317;3,1;;;LF
lk;2709351;8,1;;HF;HF
ll;4936681;8,6;;HF;HF
lm;8061705;9,0;;HF;HF
ln;137839;5,3;;;
lo;1214887;7,3;;;HF
lp;130089;5,3;;;
lq;0;0,0;LF;LF;LF
lr;591;2,4;;;LF
ls;710542;6,8;;;
lt;1841549;7,7;;;HF
lu;6947576;8,8;;HF;HF
lv;48806;4,4;;;LF
lw;1657;2,7;;;LF
lx;0;0,0;LF;LF;LF
ly;1429378;7,5;;;HF
lz;66338;4,7;;;LF
ma;24787258;9,9;HF;HF;HF
mb;356407;6,2;;;
mc;509453;6,6;;;
md;1845332;7,8;;;HF
me;17247042;9,7;HF;HF;HF
mf;95948;5,0;;;
mg;66018;4,7;;;LF
mh;384135;6,3;;;
mi;10265945;9,2;HF;HF;HF
mj;0;0,0;LF;LF;LF
mk;334318;6,1;;;
ml;4501184;8,4;;HF;HF
mm;299587;6,0;;;
mn;143136;5,4;;;
mo;947693;7,1;;;HF
mp;532928;6,7;;;
mq;0;0,0;LF;LF;LF
mr;187713;5,6;;;
ms;970663;7,1;;;HF
mt;42949;4,3;;;LF
mu;3792218;8,4;;HF;HF
mv;3883;2,9;;;LF
mw;4461;3,0;;;LF
mx;0;0,0;LF;LF;LF
my;97820;5,1;;;
mz;225873;5,7;;;
na;11908271;9,3;HF;HF;HF
nb;587748;6,8;;;
nc;4900165;8,6;;HF;HF
nd;22214954;9,8;HF;HF;HF
ne;14461524;9,5;HF;HF;HF
nf;294378;6,0;;;
ng;1444774;7,6;;;HF
nh;36799;4,1;;;LF
ni;16121665;9,6;HF;HF;HF
nj;30444;4,0;;;LF
nk;1850602;7,8;;;HF
nl;9984595;9,1;HF;HF;HF
nm;3257587;8,3;;HF;HF
nn;353534;6,1;;;
no;1294721;7,4;;;HF
np;14473;3,5;;;LF
nq;0;0,0;LF;LF;LF
nr;1214591;7,3;;;HF
ns;2830087;8,2;;HF;HF
nt;2685257;8,1;;HF;HF
nu;8609199;9,0;HF;HF;HF
nv;44599;4,3;;;LF
nw;0;0,0;LF;LF;LF
nx;0;0,0;LF;LF;LF
ny;1362744;7,5;;;HF
nz;246019;5,8;;;
oa;43675;4,3;;;LF
ob;431036;6,4;;;
oc;906242;7,0;;;HF
od;644197;6,8;;;
oe;36091;4,0;;;LF
of;360471;6,2;;;
og;529217;6,7;;;
oh;103719;5,1;;;
oi;15008;3,6;;;LF
oj;588175;6,8;;;
ok;4702015;8,5;;HF;HF
ol;15340377;9,6;HF;HF;HF
om;1720324;7,7;;;HF
on;11064314;9,3;HF;HF;HF
oo;84676;4,9;;;LF
op;1777124;7,7;;;HF
oq;0;0,0;LF;LF;LF
or;14425527;9,5;HF;HF;HF
os;1226076;7,3;;;HF
ot;1342989;7,5;;;HF
ou;33499;4,0;;;LF
ov;187003;5,5;;;
ow;31847;4,0;;;LF
ox;0;0,0;LF;LF;LF
oy;2134681;7,9;;;HF
oz;454687;6,4;;;
pa;4521427;8,5;;HF;HF
pb;9256;3,4;;;LF
pc;8521;3,4;;;LF
pd;26056;3,9;;;LF
pe;1507556;7,6;;;HF
pf;1430;2,6;;;LF
pg;4589;3,1;;;LF
ph;143957;5,4;;;
pi;1121873;7,2;;;HF
pj;0;0,0;LF;LF;LF
pk;238802;5,8;;;
pl;2416004;8,0;;HF;HF
pm;584653;6,7;;;
pn;3972;3,0;;;LF
po;1817063;7,7;;;HF
pp;1842;2,7;;;LF
pq;0;0,0;LF;LF;LF
pr;1599719;7,6;;;HF
ps;461517;6,5;;;
pt;1190998;7,3;;;HF
pu;349441;6,1;;;
pv;1;2,1;;;LF
pw;0;0,0;LF;LF;LF
px;0;0,0;LF;LF;LF
py;58291;4,5;;;LF
pz;48;2,2;;;LF
qa;18;2,1;;;LF
qb;0;0,0;LF;LF;LF
qc;0;0,0;LF;LF;LF
qd;80;2,2;;;LF
qe;0;0,0;LF;LF;LF
qf;0;0,0;LF;LF;LF
qg;0;0,0;LF;LF;LF
qh;0;0,0;LF;LF;LF
qi;0;0,0;LF;LF;LF
qj;0;0,0;LF;LF;LF
qk;0;0,0;LF;LF;LF
ql;972;2,5;;;LF
qm;0;0,0;LF;LF;LF
qn;0;0,0;LF;LF;LF
qo;0;0,0;LF;LF;LF
qp;0;0,0;LF;LF;LF
qq;0;0,0;LF;LF;LF
qr;0;0,0;LF;LF;LF
qs;0;0,0;LF;LF;LF
qt;0;0,0;LF;LF;LF
qu;8801;3,4;;;LF
qv;0;0,0;LF;LF;LF
qw;0;0,0;LF;LF;LF
qx;0;0,0;LF;LF;LF
qy;0;0,0;LF;LF;LF
qz;0;0,0;LF;LF;LF
ra;21785152;9,8;HF;HF;HF
rb;968245;7,1;;;HF
rc;820383;7,0;;;
rd;8672389;9,1;HF;HF;HF
re;14724316;9,6;HF;HF;HF
rf;191124;5,6;;;
rg;1819838;7,7;;;HF
rh;382909;6,2;;;
ri;21429757;9,8;HF;HF;HF
rj;201813;5,6;;;
rk;6492029;8,8;;HF;HF
rl;8164415;9,0;;HF;HF
rm;4766642;8,5;;HF;HF
rn;829230;7,0;;;
ro;2559026;8,1;;HF;HF
rp;238029;5,7;;;
rq;615;2,4;;;LF
rr;202592;5,6;;;
rs;2817339;8,1;;HF;HF
rt;5711489;8,7;;HF;HF
ru;8392288;9,0;HF;HF;HF
rv;373746;6,2;;;
rw;2316;2,8;;;LF
rx;0;0,0;LF;LF;LF
ry;246468;5,8;;;
rz;205966;5,7;;;
sa;13455930;9,4;HF;HF;HF
sb;29709;3,9;;;LF
sc;116704;5,2;;;
sd;16467;3,6;;;LF
se;9099793;9,1;HF;HF;HF
sf;163944;5,5;;;
sg;39693;4,2;;;LF
sh;162108;5,5;;;
si;14696269;9,6;HF;HF;HF
sj;0;0,0;LF;LF;LF
sk;1289897;7,4;;;HF
sl;1868972;7,8;;;HF
sm;730533;6,9;;;
sn;127453;5,2;;;
so;5287820;8,6;;HF;HF
sp;811682;6,9;;;
sq;965;2,5;;;LF
sr;272921;5,9;;;
ss;431032;6,4;;;
st;7291973;8,9;;HF;HF
su;3798269;8,4;;HF;HF
sv;72082;4,8;;;LF
sw;5497;3,2;;;LF
sx;0;0,0;LF;LF;LF
sy;1486743;7,6;;;HF
sz;0;0,0;LF;LF;LF
ta;16622662;9,6;HF;HF;HF
tb;488839;6,6;;;
tc;59191;4,5;;;LF
td;17089;3,7;;;LF
te;14283995;9,5;HF;HF;HF
tf;141768;5,3;;;
