component;com_trial;com_is_practice;com_is_synthesized;com_is_timed;com_is_repeated;bigram;bigr_pausetime;bigr_start_time;bigr_is_targetted;bigr_is_within_timerange;bigr_frequency_class;bigr_hand_comb;bigr_adjacent;bigr_repetitive;logfile;participant;creation_date
Snelheidstaak;1;0;0;1;2;dk;74;1477;1;0;Indeterminate;LR;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;kd;88;1551;1;0;Indeterminate;RL;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;dk;104;1639;1;0;Indeterminate;LR;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;kd;48;1743;1;0;Indeterminate;RL;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;dk;128;1791;1;0;Indeterminate;LR;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;kd;41;1919;1;0;Indeterminate;RL;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;dk;159;1960;1;0;Indeterminate;LR;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;kd;24;2119;1;0;Indeterminate;RL;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;dk;184;2143;1;0;Indeterminate;LR;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;kd;33;2327;1;0;Indeterminate;RL;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
Snelheidstaak;1;0;0;1;2;dk;199;2360;1;0;Indeterminate;LR;0;0;3056.idfx;E05DD75201C85613;07/11/17 13:07:51.933
