id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,602,60,394,118,192.4,126,152.1
2,544,33,374,117,242,124.3,160.5
3,489,54,315,144,144.9,159,190.7
4,690,23,461,108,81.7,114.2,130.1
5,580,21,217,221.5,210.9,232,276.9
6,579,15,229,192,233.6,213.1,261.6
7,603,22,409,115,146.1,122.4,146.7
8,538,87,224,157,299.6,183.8,267.4
9,610,51,351,127,180.3,133.7,170.8
10,595,22,207,231,293.9,222,290.2
11,588,45,289,163,175.2,169.9,207.6
12,609,44,194,238,285.3,221.2,309
13,571,42,193,206,351.8,231.4,310.1
14,543,29,236,196,209,216.9,254.1
15,419,116,251,148,299.6,172.9,238.7
16,613,34,260,170,225.8,175.9,231
17,585,89,272,172,230.2,171.7,220.3
18,618,15,263,177.5,171.1,191.3,227.8
19,455,114,177,239,304.9,258.3,339.3
20,510,85,153,323,426.6,277.5,391.3
21,597,41,244,150,341.9,175.9,245.8
22,530,41,230,165,313,198.3,261.1
23,577,26,282,156,204.5,174.9,212.4
24,574,35,258,190,171.3,197.7,233
25,556,48,226,213.5,215.8,206.7,265.2
26,543,33,229,193,198.2,224.3,261.6
27,635,38,283,157,343.4,163.7,211.9
28,551,72,379,120,135.2,132.5,158.3
29,550,45,313,154,155.4,160.4,191.6
30,550,45,313,154,155.4,160.4,191.6
31,489,59,161,272,430.2,288.1,373.8
32,471,80,122,293,520.5,351.7,493.2
33,615,16,267,187,187.7,187.4,224.4
34,571,45,290,147,275.1,157.6,207.1
35,528,111,358,126,155.2,136,167.7
36,589,13,246,174,235.5,195.6,243.7
37,543,70,250,172,321.6,181.8,239.9
38,621,13,316,154,132.4,164.2,190.1
39,621,13,316,154,132.4,164.2,190.1
40,621,13,316,154,132.4,164.2,190.1
41,594,30,269,150,286.3,172.5,222.7
42,481,83,137,280,485.4,293.4,439.5
43,543,61,111,365,615.8,338.6,541.1
44,636,31,286,174,191.6,170.7,209.9
45,545,57,232,212,213.4,210.6,258.5
46,610,19,262,191.5,181.9,194.2,229.1
47,615,57,351,131,156.5,139.6,170.9
48,523,80,218,220,244.5,215.5,275.1
49,599,12,264,175,188.8,190.4,227.3
50,576,53,260,194,194.6,187.5,230.6
51,520,31,222,222,223.6,229.8,270.8
52,603,19,269,170,193.3,185.3,223.2
53,510,41,189,249,321.1,254.5,316.9
54,563,35,153,277,419.6,280.5,392.2
55,546,36,187,226.5,364.3,239.6,321.5
56,597,38,267,185,201.7,187.9,224.7
57,562,42,230,226,192.5,215.5,261.3
58,446,56,198,243,239,248,303.1
59,629,31,338,132,174.8,144.8,177.7
60,626,26,370,128,137.4,135.3,162.2
61,565,38,308,141,209.9,159.6,194.9
62,635,23,278,144,259,158.9,215.7
63,520,16,333,145.5,159.3,150.6,180.3
64,560,38,299,135,227.3,154.2,200.7
65,537,17,281,141,336.1,153.6,213.6
66,427,21,245,197,160,218.2,244.5
67,540,42,268,146,265.1,168.3,223.8
68,510,25,222,222,210.1,225.8,270.1
69,530,42,277,168,177.3,182.7,216.9
70,512,18,159,331.5,324,296.2,377.2
71,485,11,208,234,206.7,244.7,287.9
72,521,45,231,182,262.3,191.7,260.3
73,453,28,311,145,149.4,162.8,193.1
74,599,25,287,162,209.4,160.6,209.4
75,502,32,247,170,310.9,187.3,242.8
