id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,19,4,90,335,772.4,445.3,664.2
2,20,0,68,555,897.9,617.9,877.8
3,20,1,146,340,143.3,386.2,410.2
4,20,0,193,291,93.9,295.9,310.8
5,20,0,73,826,474.3,684.1,823.3
6,20,0,64,769.5,568,738.9,933.4
7,20,0,100,466.5,431.6,457.2,599.4
8,18,4,83,432,630.3,453.8,725.8
9,19,2,98,432,519.2,430.9,610.4
10,22,0,62,689,700.5,755,971.6
11,17,2,128,331,346.8,392.7,470.6
12,20,0,73,700.5,461.8,675.5,820.2
13,20,0,58,875.5,635.4,824.4,1027.8
14,20,0,78,477.5,631.3,579.4,769.6
15,17,3,72,814,548.3,632.9,829.9
16,20,0,73,686,477.6,685.4,822.3
17,19,3,72,670,777.8,591.2,837.5
18,20,0,69,722.5,477.3,726.1,868.4
19,18,2,64,862.5,332.8,889.1,939.2
20,18,2,43,1001,1263.8,982.1,1382.2
21,14,4,47,1003,1127.1,887.2,1272.2
22,20,0,69,364,871,475.2,875.8
23,20,0,84,366,612.9,445.6,713
24,18,1,97,502.5,403.2,480,621.4
25,20,0,94,444.5,498.1,467.3,640.4
26,20,2,92,544.5,500.1,486.8,655.2
27,18,3,89,440,553.5,511.6,674.3
28,17,2,97,578,287.9,554.4,616.9
29,16,4,88,550.5,396,589.3,678.9
30,16,4,88,550.5,396,589.3,678.9
31,19,3,63,519,867.7,687.5,959.3
32,19,0,51,1012,849.2,932,1185.7
33,20,0,89,398,682.6,440.8,677.6
34,17,3,70,536,682.1,687.7,851.8
35,19,1,116,410,417.6,387.3,515.4
36,19,1,101,526,349.3,478.1,592.1
37,16,4,66,447,1039.6,541.8,915.6
38,17,3,96,609,324.3,532.3,622.5
39,17,3,96,609,324.3,532.3,622.5
40,17,3,96,609,324.3,532.3,622.5
41,19,1,104,340,518.9,374.5,576.2
42,18,1,50,1134.5,752.7,963.1,1206.9
43,19,1,59,1000,442.2,897.6,1016.7
44,20,0,102,447,390.8,477.1,588.6
45,20,0,70,698.5,480.4,733.6,854
46,20,0,73,471,693.5,605.1,816.8
47,20,3,131,236,517.1,290.5,459.2
48,18,4,68,584,749.4,594.9,884.3
49,20,0,72,664.5,477,703.5,828.8
50,20,0,68,798.5,533.5,706.7,882.8
51,20,0,100,472.5,382.3,498.3,599.9
52,20,0,70,722,574.6,665.9,852.9
53,17,3,62,469,850,631.9,965.6
54,16,6,61,723,820.2,757.1,985.8
55,18,3,59,552.5,1236.5,598.2,1024.1
56,19,2,87,302,809.2,403,688.4
57,20,0,108,358.5,477.2,407.9,557
58,16,3,75,900,495.7,623.4,797.4
59,18,4,93,301,596.8,449.4,644.6
60,16,3,102,500.5,410.9,474.1,589.3
61,17,1,84,273,703.8,435.6,712.8
