id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,97,8,416,128,101.6,126,144.3
2,130,0,419,125.5,96.7,129.2,143.1
3,64,11,410,136,93.7,131.4,146.5
4,134,2,449,121.5,83,117.3,133.7
5,65,2,254,202,100.8,219.6,236.6
6,51,0,264,185,145,201,227.6
7,102,9,450,119,80.1,121.1,133.2
8,50,2,220,177.5,226.2,212.6,272.4
9,93,6,440,135,51.9,127.5,136.2
10,69,0,266,211,117.4,210.2,225.6
11,76,7,249,182.5,261.9,192.6,240.8
12,44,7,237,209.5,143.3,224.4,252.9
13,73,1,280,184,104,191.9,214
14,61,1,246,187,189.1,204.9,243.8
15,52,0,283,153.5,249.3,163.8,211.9
16,59,4,301,159,153.8,169.1,199.5
17,90,3,345,167,74.2,157.9,173.9
18,89,7,331,160,101.3,167.3,181.3
19,68,2,271,196,97.9,205.7,221.8
20,39,7,182,253,249,287.1,329.5
21,85,1,341,150,98.2,157.3,175.9
22,29,0,339,161,73.9,164.2,177.1
23,74,3,279,171.5,200.2,178.3,215.1
24,79,1,307,171,149.3,174.8,195.3
25,50,12,257,198,147.3,201.3,233.9
26,73,2,293,184,81,193.2,204.6
27,97,5,385,150,57.1,147.5,155.7
28,111,9,401,135,91.1,130,149.8
29,100,7,345,151.5,116.7,147.6,174
30,100,7,345,151.5,116.7,147.6,174
31,24,3,286,203,63.6,200.8,209.6
32,25,2,177,263,220,297,339.9
33,82,0,288,191,158.5,189.2,208.6
34,28,2,411,148.5,54.5,136.1,146.1
35,93,10,375,125,157.1,133.9,160.1
36,99,2,381,154,62.2,148.4,157.6
37,78,2,265,174.5,307.6,179.8,226.6
38,93,0,335,169,104.5,164.6,179.1
39,93,0,335,169,104.5,164.6,179.1
40,93,0,335,169,104.5,164.6,179.1
41,76,5,340,162,63.8,167.4,176.5
42,37,5,208,227,154.1,258.6,287.8
43,37,1,143,347,253.8,354.8,418.7
44,89,2,302,180,97.4,183.5,198.4
45,37,5,294,190,83.8,191,204.2
46,95,1,303,177,84.2,184.3,197.9
47,98,6,367,142.5,111.1,140.1,163.4
48,57,1,265,204,107.5,209.2,226.6
49,84,1,317,184.5,72.4,178.7,189.4
50,77,6,335,176,57.8,171.6,179.1
51,66,0,282,195,77.8,201.9,212.5
52,82,2,319,182.5,62,179.2,188.4
53,52,3,239,225,101.9,236.1,250.7
54,52,2,204,214,370.9,233.3,294.1
55,55,4,280,180,109.8,194.3,214.1
56,81,5,341,167,46.4,170.2,175.9
57,58,0,257,205.5,103.4,219.2,233.4
58,69,1,244,202,155.9,213.8,245.8
59,111,2,419,143,59.5,133.6,143.1
60,113,5,398,121,94.2,130.9,150.7
61,79,5,355,137,153.2,142.5,169.2
62,39,2,305,168,106.4,170.5,196.8
63,98,11,328,161.5,114.1,160.6,182.9
64,79,2,339,151,111.2,152.5,177.2
65,69,3,266,160,217.5,175,225.7
66,26,1,278,180,130,195.3,215.7
67,66,7,246,174,272.6,182.1,244.4
68,80,0,261,193.5,121.1,201.6,230
69,72,0,290,164,151.5,174.7,206.7
70,45,3,179,278,242.3,292.2,335.4
71,73,0,249,185,210.1,204.5,240.7
72,57,6,272,190,112.5,199.8,220.9
73,92,0,318,175,98,168.4,188.7
74,68,6,286,167,118.7,186,209.7
75,42,7,183,194.5,445.2,217.3,328.6
76,57,0,266,193,109.6,206.8,225.9
77,70,8,293,163,102.9,184.6,204.9
78,84,2,277,177,144.6,186,216.8
79,94,7,364,149.5,67.6,154.1,164.8
80,115,6,376,139,86.8,142.1,159.6
81,103,7,357,142,83.4,150.3,167.9
82,65,0,225,214,155.6,234.6,266.9
83,23,3,86,409,558.5,516.3,698.7
84,73,2,291,156,188.6,169.3,206.3
85,105,2,364,157,74.7,150.9,165
86,92,0,323,141.5,161.7,158.6,186
87,67,4,261,195,189.2,199.7,229.9
88,81,9,337,155,103.1,155.3,178
89,98,0,289,183.5,100.6,188.6,207.3
90,80,1,268,182.5,118.2,203.1,224.2
91,76,10,297,172,143.5,180.4,202.2
92,78,4,278,184.5,131.6,194.4,215.8
93,72,2,307,151.5,132.5,163.8,195.1
94,94,4,332,166,77.4,170.3,180.7
95,66,6,313,165,82.3,177.9,191.8
96,95,2,337,160,171.7,157.2,177.9
97,70,3,367,144.5,88.4,147.7,163.5
98,44,1,198,264,120.4,284,303.5
99,71,0,281,171,124.6,186.5,213.2
100,83,5,311,163,113.1,170.5,192.7
101,83,2,357,155,52,161.5,168.2
102,76,2,265,151.5,230.2,177,226.3
103,68,7,294,171,118.3,183.8,204.4
104,64,5,219,193.5,257.9,221.5,274.2
105,106,5,424,139.5,53.6,131.9,141.5
106,84,5,375,131,100.3,141.4,160.1
107,74,3,255,211,114.7,211,235.2
108,86,0,296,179.5,103.6,187,202.9
109,51,8,230,192,176.6,218.5,261.1
110,36,7,143,280,397.5,320.9,418.1
111,111,6,401,141,98.1,136.4,149.5
112,72,2,258,162,169.8,190,232.3
113,145,5,507,109,56.5,106,118.3
114,98,5,340,160.5,88.6,160.7,176.5
115,58,0,247,208.5,116.5,220.2,242.7
116,79,0,330,166,68.2,170.9,181.8
117,103,2,384,135,85,140.8,156.4
118,71,0,285,189,106.9,194.8,210.5
119,25,3,213,186,215.7,230.4,281.6
120,56,10,356,167,81.8,147.1,168.3
121,72,1,268,220,61.9,217.1,223.9
122,52,1,177,229,417.9,259,338.1
123,73,7,293,161,280.6,171.4,205
124,78,0,309,179,67.6,184.8,194
125,48,3,202,269.5,140.3,271.3,296.4
126,85,6,379,138,84.2,144.1,158.5
127,63,4,285,181,140.1,184.1,210.8
128,49,7,237,206,162.9,222,252.8
129,80,1,323,170,126.5,169.2,185.5
130,100,3,379,151,74.6,144.6,158.2
131,82,1,344,149,87.7,160.7,174.6
132,68,9,273,169.5,146.7,189.3,219.4
133,74,5,307,178,93.6,182.4,195.4
134,80,5,359,152,103.5,147.9,167.2
135,31,4,246,232,94.4,226.2,243.8
136,23,9,148,283,487.1,308.5,405.9
137,111,0,397,150,68.5,137.4,151.3
138,46,7,352,158.5,90.2,152.5,170.3
139,71,9,286,185,104.5,192.3,210
140,84,0,312,176,73.3,180.6,192.1
141,76,2,327,169,64.9,173.9,183.7
142,113,3,414,141,47.4,138.1,144.8
143,66,8,364,154.5,117.3,141.8,164.7
144,92,14,384,155,37.4,151.3,156.1
145,42,8,183,274,169.2,294.4,328.2
146,69,1,293,167,183,176.9,205
147,89,2,286,167,219.3,172.8,209.6
148,99,13,411,143,37.1,142,146
149,71,0,437,125,68.6,123.3,137.4
150,95,3,328,143,175.2,157.5,183.1
151,51,4,311,174,105.1,173,192.7
152,65,4,291,165,137.8,174.5,206.5
153,54,11,296,173,127.2,181.6,202.5
154,82,0,322,180,59.5,179.4,186.6
155,51,5,282,194,115.8,190.2,212.4
