id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,137,0,550,107,20.9,107.2,109.1
2,63,5,334,152,123.7,147.6,179.6
3,28,11,395,117,164.1,121.1,151.7
4,163,0,656,95,22.7,88.5,91.5
5,113,1,460,128,28.3,127.3,130.3
6,114,1,468,124,26.9,125.4,128.2
7,126,1,513,112.5,43.2,112.9,117
8,171,0,685,88,13.8,86.3,87.5
9,157,12,731,79,30.9,76.2,82.1
10,135,11,629,93,36.6,87.7,95.3
11,142,9,638,91.5,27.8,89.7,94.1
12,158,8,715,78,29.5,78.5,83.9
13,106,2,443,133,36.8,130.8,135.3
14,105,1,431,138,22.4,137.7,139.4
15,88,0,648,93,25.7,88.6,92.6
16,159,10,715,85,22.1,80.8,84
17,130,16,634,90.5,41.8,84.8,94.6
18,132,4,558,105,28.9,103.4,107.6
19,101,10,472,139,45.4,116.2,127
20,118,27,675,87.5,33.4,81.7,88.9
21,148,0,595,101,21.6,98.3,100.8
22,107,0,429,140,13.7,139.3,140
23,114,0,457,129,21.3,129.3,131.3
24,133,0,532,112,10.3,112.3,112.8
25,125,15,600,100,36.4,92.8,100
26,92,0,372,157,38.7,157,161.4
27,151,6,653,91,27.2,87.4,91.8
28,131,0,527,111,13.4,113.1,113.9
29,96,0,386,150,80.9,148.5,155.5
30,96,0,386,150,80.9,148.5,155.5
31,98,0,395,148.5,28.8,149.1,151.8
32,85,3,357,156,81,158.3,168
33,140,3,590,102,27.9,97.4,101.6
34,154,6,663,91,24.6,86.9,90.5
35,147,6,643,93,33.5,87.2,93.3
36,102,1,416,137,34.9,140.2,144.2
37,117,4,503,113,97.3,109.1,119.3
38,143,0,577,105,20.1,101.8,104
39,143,0,577,105,20.1,101.8,104
40,143,0,577,105,20.1,101.8,104
41,133,0,533,112,29.7,108.2,112.5
42,116,13,559,103.5,38.9,99.7,107.3
43,130,17,636,89.5,37.2,87.5,94.3
44,164,7,711,84,18.1,82.1,84.3
45,126,12,582,105,29.4,98.5,103.1
46,133,1,542,110,14.4,109.9,110.8
47,157,1,643,94,22.2,90.5,93.3
48,116,16,586,100,40.6,93.3,102.3
49,126,0,504,122.5,26.2,115.7,119.1
50,134,15,626,98.5,32.6,89.7,95.8
51,62,6,359,123.5,364.7,118.6,167.2
52,135,0,540,109,22.2,109,111.1
53,72,18,429,133,65,122.4,139.7
