id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,141,13,414,123,107.2,129.5,145
2,135,1,486,124,42.3,115.8,123.5
3,141,14,319,160,112.9,165.9,187.9
4,136,9,456,126,52.2,120.5,131.7
5,137,6,209,232,151.9,259.4,286.6
6,150,8,258,198,120.7,211.5,232.2
7,136,8,426,137,54.7,133.4,140.9
8,112,25,205,211,262.9,237.5,292.9
9,122,11,334,137,155.4,152.3,179.7
10,139,1,206,244,204.2,262.4,291.5
11,137,4,273,201,102.5,201.9,219.9
12,137,13,188,254,218.7,275.7,318.7
13,138,8,206,229.5,216.2,240.4,290.7
14,124,11,260,206,92.7,218.6,230.5
15,130,14,260,174,162.2,193.6,230.9
16,136,10,220,195.5,254.8,218.8,272.4
17,113,22,295,193,110.6,183,203.3
18,140,0,266,195,122.6,204.8,226
19,123,12,192,248,284.3,271.4,312.6
20,123,13,161,333,200.7,337.9,373
21,119,18,270,180,149,196.3,221.8
22,137,6,250,183,187.2,202.9,240.1
23,137,2,319,171,126.4,168.9,188
24,120,12,272,199,113.2,199.2,220.3
25,123,12,235,223,131.9,227.6,255.5
26,127,13,261,204,100,214.8,229.8
27,135,9,272,198,140.9,200.5,220.9
28,133,11,395,141,75.3,137.7,152.1
29,138,2,362,156,75.8,149.8,165.9
30,138,2,362,156,75.8,149.8,165.9
31,119,19,216,247,137.1,254.2,277.9
32,109,23,158,257,640.9,291,379.1
33,138,5,245,221,141.3,224.3,245.4
34,123,14,334,166,89.5,164.8,179.4
35,140,3,330,158,95.5,162.8,182
36,135,5,279,182,133.6,189.7,215.3
37,117,15,276,206,113,198.7,217.6
38,134,8,306,173,103.3,179.7,196.2
39,134,8,306,173,103.3,179.7,196.2
40,134,8,306,173,103.3,179.7,196.2
41,134,6,262,189,233.3,192.6,229.4
42,110,17,122,338,425.5,392.3,492
43,129,10,106,390,569,443,568.5
44,138,11,249,207.5,254.1,210.1,240.8
45,127,8,254,225,92.3,223.6,236.5
46,133,6,246,207,153.4,219.4,243.7
