id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,586,33,420,126,97.8,128,142.9
2,609,19,416,125,232,123.7,144.3
3,42,10,142,405,147.9,396.4,424
4,592,10,462,113.5,68.6,117,130
5,43,6,96,502,423.8,500.6,624.2
6,41,6,95,517,486.2,465.7,634
7,574,12,438,123,83.3,123.7,137
8,424,84,192,231.5,261,249.5,313.2
9,36,15,139,332,401.1,320.9,432.6
10,47,12,86,559,585.3,542.9,701.5
11,32,12,150,314,287.7,340.8,401.2
12,45,16,85,567,435.9,580.7,704.7
13,523,33,215,227,268.6,232.5,279.6
14,37,6,109,321,539.1,404.5,550.1
15,345,110,237,174,297.4,193.6,252.7
16,43,14,96,466,389.7,533.1,627.7
17,47,29,104,526,559.2,427.3,575.2
18,44,5,104,408.5,423.4,463.9,577.3
19,40,5,71,796,470.7,724.6,848.8
20,35,36,69,594,801.8,658.5,867.3
21,522,30,249,182,243.4,193.5,241.3
22,471,32,241,183,237.7,203.4,249.2
23,520,19,294,173,167.7,177.8,204.2
24,519,33,247,207,141.6,216.3,243
25,42,20,122,410,336.4,406.6,491.9
26,525,28,235,207,157,228.9,255.7
27,41,14,113,385,425.9,428.3,532.6
28,509,76,431,124,74.8,124.3,139.1
29,524,42,366,144,91,144.8,163.8
30,524,42,366,144,91,144.8,163.8
31,441,50,173,273,319.3,295.8,347.1
32,36,28,57,937.5,773.7,815.9,1057.2
33,43,4,128,297,448.8,361.5,467.8
34,40,12,110,428.5,537.2,406.2,543.8
35,30,9,146,257,363.7,312.7,410.6
36,555,11,251,187,221.9,199.4,239.1
37,31,7,95,383,544.1,467.3,633.6
38,550,12,296,182.5,122.8,182.7,202.4
39,550,12,296,182.5,122.8,182.7,202.4
40,550,12,296,182.5,122.8,182.7,202.4
41,520,15,250,184,298.3,193.7,240.1
42,33,21,50,1162,638,999.4,1188.2
43,42,13,56,968,935.4,827.5,1068.5
44,43,13,132,379,294.8,388.9,455.7
45,41,15,97,462,383.8,539.5,620.5
46,541,8,246,203,200.1,216,244.2
47,530,39,349,150,117.3,146.5,171.7
48,36,22,92,483.5,591.1,475.9,653.8
49,541,6,261,210,123.4,209.3,229.6
50,35,19,101,467,419.5,470.1,591.7
51,41,10,133,318,301.9,386.2,449.7
52,533,14,265,205,118.5,205.2,226.5
53,40,10,99,354.5,576.7,452.9,608
54,41,10,65,827,561.7,784.9,921.5
55,41,8,75,560,891.7,546.9,804.2
56,532,31,254,201.5,191.5,211.4,236.1
57,43,16,148,268,304.3,339.9,406
58,476,50,230,217.5,171.3,225.4,260.5
59,41,10,107,373,443.5,450.8,562.3
60,38,3,141,341,240.7,365.3,426.6
61,512,29,341,154.5,111.6,158,175.8
62,32,5,78,408,853.8,488.6,766.8
63,83,3,189,183,333.7,239.5,317.3
64,115,3,341,97,235.3,122.7,175.9
65,86,3,207,135,605.7,153.6,289.2
66,70,6,177,236.5,312,266.3,338.6
67,99,13,212,116,460.3,162.2,282.8
68,79,3,196,154,341.8,194.2,306.5
69,93,8,313,93,237.2,133.6,192
70,96,6,161,145.5,481.6,226.4,373.5
