id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,215,15,426,107,169.8,114.1,140.7
2,184,6,479,105,98.1,108.1,125.3
3,118,13,311,141,150.7,160.9,192.8
4,188,5,468,110,78.4,115.5,128.1
5,156,7,242,199.5,203.3,205,247.9
6,144,3,294,175,163.3,176.9,204.3
7,188,5,504,98.5,121.1,100.4,119.1
8,157,21,309,106,223.9,138.4,194
9,172,15,483,103,100.9,102.7,124.3
10,168,2,255,191,272.1,164.2,235.6
11,167,8,300,145,185.9,153,200.2
12,185,9,239,158,244,177.9,250.9
13,154,8,234,156.5,312.2,193.9,256.4
14,136,10,302,171.5,98.1,182.9,198.7
15,126,25,277,121,312.2,154.1,216.8
16,182,3,355,127.5,186.5,131,169
17,167,17,305,158,147.2,156.1,196.6
18,173,0,308,153,152.7,163.8,195.1
19,147,27,255,177,213.3,192.3,235.1
20,147,12,210,206,241.4,196.8,285.1
21,167,5,315,128,266.4,145.5,190.8
22,144,13,331,150.5,121.1,165,181.3
23,155,4,333,135,154.6,156.7,180.1
24,153,11,364,131,82.9,151.5,164.9
25,155,10,269,178,171.4,175.3,222.7
26,134,8,275,180,116,201.4,218.1
27,184,5,289,134.5,547.2,147,207.9
28,160,17,386,119.5,97.2,136.8,155.3
29,139,12,315,158,128.1,167.5,190.6
30,139,12,315,158,128.1,167.5,190.6
31,133,12,197,228,324.6,251,304.2
32,123,20,178,220,333.1,257,337.2
33,172,2,309,176,144.3,161.4,194.4
34,166,6,432,116,82,124.5,138.8
35,160,30,377,121.5,178.3,128.8,159.1
36,153,4,273,165,204.3,182,220.1
37,144,11,295,155.5,226,174.4,203.6
38,171,2,348,135,111,153.2,172.2
39,171,2,348,135,111,153.2,172.2
40,171,2,348,135,111,153.2,172.2
41,164,9,365,132,136.6,147,164.4
42,137,17,163,223,447.9,218.8,368.1
43,161,6,122,280,699.6,255.6,492.6
44,187,6,341,125,238.9,135.8,175.9
45,155,9,293,191,157.5,169.5,204.7
46,166,6,323,143.5,120.7,163,185.8
47,175,8,387,118,109.7,135.6,155
48,136,19,273,169,176.1,175.6,219.6
49,163,1,314,151,124.5,171,190.9
50,147,14,285,184,188.7,158.1,210.7
51,133,2,271,187,130.7,194.5,221.1
52,168,5,355,132,104.4,147.8,168.8
53,123,4,222,236,181.3,240.6,270.3
54,152,3,191,213.5,326.6,218.4,313.9
55,148,5,249,152.5,445.4,168.4,241
56,162,2,361,142,88.2,151.7,166.4
57,146,5,261,213.5,157.6,191.2,229.5
58,101,14,172,246,291.5,287.2,348.2
59,174,4,435,101,155.2,114.4,137.8
60,169,2,414,112,84.3,128,144.9
61,152,6,358,130,179.2,137.1,167.4
62,189,0,338,112,194.4,136.8,177.8
63,151,2,369,149,82.8,152.5,162.6
64,179,1,362,112,199.2,131.1,165.9
65,175,1,315,138,316.9,138.8,190.4
66,125,1,289,181,113.6,193.4,207.8
67,171,5,318,133,184.8,153.3,188.6
68,154,3,259,209,135.5,206.6,231.3
69,160,1,319,164,96.2,175.4,187.9
70,158,2,182,288,329.1,240.9,329.7
71,136,1,226,224,142,240,265.8
72,167,5,321,140,182.6,144,187
73,123,1,306,146,122.9,171.2,196.2
74,197,4,360,107,174.3,130.1,166.8
75,162,4,336,137,175.9,150.2,178.8
76,161,7,337,132,127.7,149,177.9
77,158,5,382,133,139.2,129.9,156.9
78,176,0,307,162,223.3,157,195.4
79,192,2,472,92.5,124.2,102.5,127.2
80,174,6,419,126,68.6,134.5,143
81,143,4,362,139,86.6,151.8,165.7
82,168,3,285,156,178.2,172.4,210.8
83,103,12,86,450,649.9,547.3,694
84,187,2,420,118,140,127.3,142.9
85,185,3,399,118,133.7,125.8,150.4
86,203,4,529,93,101.1,98.5,113.4
87,150,4,425,117,89.2,118.1,141
88,175,12,370,127,118.6,139.3,162.3
89,160,0,365,143.5,73.4,152.2,164.5
90,170,4,417,115,78.6,130.2,144
91,169,2,352,154,112.5,154.5,170.4
92,119,14,279,180,146.1,184.3,215.3
93,162,1,318,150,171.4,157.6,188.8
94,168,3,366,145,128.3,150.7,163.8
95,162,9,304,141,230.3,151.7,197.1
96,181,3,405,127,177.2,121.7,148.2
97,181,5,420,113,170.5,118.7,142.8
98,163,1,204,285,212,234.3,293.4
99,170,1,359,126,137.8,143.3,167.2
100,184,5,363,133,143.1,133.2,165.4
101,177,0,354,131,294.2,136.4,169.6
102,158,3,408,119,113.4,122,147
103,160,6,356,145.5,135.2,146.8,168.8
104,147,14,293,145,346.6,145.8,204.6
105,170,10,380,143,135.5,141.6,157.8
106,160,16,300,140,221.3,153.1,200.2
107,160,6,287,160.5,207.1,177.4,209.4
108,163,0,331,153,82.1,169.6,181.5
109,151,3,244,195,270.4,185.8,245.8
110,149,12,192,203,367.2,211,312.8
111,195,4,526,95,105,99.2,114
112,162,6,306,129.5,182.9,157.1,196.4
113,189,4,439,119,94,121.1,136.7
114,154,6,380,127,160.1,134.4,157.8
115,151,5,243,153,332.5,170.7,247
116,188,1,317,143,194.2,162.1,189.4
117,174,7,267,133.5,610.6,140.4,225
118,166,16,293,135,252.7,149.6,204.5
119,114,10,280,192,113.5,199.4,214.2
120,151,12,302,147,139.1,170.1,198.8
121,161,1,268,195,163.7,193.1,223.6
122,125,11,140,308,416.3,322.2,428.5
123,159,7,340,155,167.7,149.1,176.2
124,144,5,203,216.5,296.3,241.7,295.4
125,157,3,173,292,258.6,260,346.6
126,179,7,404,105,143.4,119.5,148.5
127,167,5,302,160,268.7,157,199
128,156,8,290,153,198.2,157.7,207
129,172,6,307,147.5,149.6,156.1,195.7
130,202,2,396,108,150.8,118.6,151.4
131,204,11,425,78,176,99.4,141.2
132,152,10,302,143,195.9,151.6,198.7
133,174,5,309,141,192.3,138.8,194.2
134,188,1,450,109.5,56.8,123.2,133.4
135,161,5,225,196,256.1,193,266.3
136,155,30,137,342,456.1,264.3,438.3
137,172,5,348,133,141.3,137.7,172.5
138,162,9,313,140.5,142.8,158.8,191.7
139,172,7,346,114,181.2,133.9,173.6
140,158,3,318,147,138.8,159.8,188.8
141,145,16,302,149,203.2,156.7,198.9
142,149,17,458,112,112.9,105.6,130.9
143,174,13,332,124,237.2,129.4,180.9
144,174,9,370,134.5,170.5,127.9,162.4
145,164,11,184,282.5,302.5,222.1,326.7
146,153,14,358,123,149.3,134.2,167.8
147,160,19,349,123.5,187.5,133.5,171.9
148,165,3,434,127,52.4,130.2,138.2
149,144,4,339,137.5,137.5,150.3,176.8
150,152,2,405,130.5,103.6,124.4,148.2
151,153,4,338,116,179.6,131.4,177.6
152,153,7,289,131,213.9,145.4,207.5
153,117,9,258,165,225.4,186.7,232.9
154,163,2,261,169,265.8,182,229.6
155,159,5,260,150,350.6,159.8,230.8
156,164,4,251,184,194,197.8,239.2
157,155,0,209,183,349.2,190.8,287.4
158,163,3,192,233,361.5,198.7,313.2
159,116,23,114,317,774.8,324.4,528.1
160,182,7,534,98.5,113.9,96.9,112.4
161,171,5,299,147,179.2,163,200.6
162,152,8,405,129,95.9,133.7,148.3
163,175,4,333,179,135.5,141.7,180.4
164,184,3,492,104.5,84.5,104.5,122
165,148,6,225,192.5,274.3,192.4,267
166,160,8,400,138,81.6,135.2,150
167,178,9,271,152.5,222.5,165.7,221.7
168,166,16,388,115.5,171.7,115.9,154.6
169,185,2,365,142,96,144.7,164.4
170,189,7,449,108,102.7,112.1,133.5
171,169,2,259,182,179.1,188.4,231.7
172,179,9,334,125,133.9,145.2,179.6
173,154,7,383,138,101.9,143.8,156.5
174,187,0,398,116,133.9,120.1,150.9
175,159,12,450,118,75.9,123.7,133.3
176,171,3,408,125,84.9,132.1,146.9
177,161,8,285,164,198.2,165.3,210.8
178,149,4,299,172,143.3,179.9,200.5
179,186,2,448,115,78.6,120.5,134
180,148,3,358,153,67.3,158.9,167.5
181,181,5,388,111,324.4,122.7,154.5
182,168,2,334,173,75.3,164.4,179.8
183,148,6,225,181,294,198.2,266.4
184,150,6,193,241.5,238,251.2,311.6
185,183,7,448,125,73.3,120.6,134
186,176,2,437,128,78,128.8,137.4
187,178,4,338,130,286.5,132.3,177.3
188,164,1,311,133,217,148.6,192.7
189,170,3,423,125,138.5,121.3,141.9
190,179,11,384,140,86.3,134.7,156.3
191,162,5,227,222,210.8,205.6,264.5
192,176,1,312,166,211.1,153.8,192.1
193,180,4,450,109.5,119.1,112.7,133.2
194,165,4,414,119,106.9,127.4,144.9
195,160,3,349,147,186.6,153.5,172
196,171,1,400,122,102.5,135.7,149.8
197,180,12,505,101,66.1,108.5,118.7
198,184,0,335,160,114.2,150.6,179.4
199,172,2,369,136,114,140.1,162.5
200,172,9,302,133.5,306.6,143.4,198.4
201,167,2,297,174,140.8,165.2,202.3
202,152,3,240,175.5,260.1,175.2,250.5
203,163,7,381,130,199.4,131.7,157.3
204,136,8,219,224,256.5,205.1,274.1
205,143,7,315,161,203.9,168,190.7
206,159,2,302,186,148.1,162.8,198.7
207,115,4,224,231,130.8,244,267.9
208,166,2,385,147,48.6,150.3,155.8
209,182,5,460,108.5,136.7,110.5,130.3
210,174,5,525,105.5,58.3,106.7,114.3
211,168,1,580,83,94.8,86.2,103.4
212,189,5,572,102,44.1,96.6,105
213,200,5,522,94,85.1,98.9,114.9
214,122,3,294,168,145.8,179.8,204.4
215,167,1,444,80,343.5,91.1,135.1
216,148,2,386,128.5,107,137.5,155.6
217,174,10,415,121,115.6,121.2,144.4
218,151,10,253,153,266.6,187.6,237.4
219,212,1,598,82,76.2,86.9,100.3
220,194,2,562,101.5,51.9,98.5,106.8
221,168,9,496,105,88.9,102.7,120.9
222,194,3,437,108,137.9,113.3,137.2
223,139,1,424,119,85.5,126.5,141.4
224,192,2,479,114.5,67.1,116.1,125.4
225,193,1,478,110,74.6,111.2,125.6
226,183,3,460,111,96.5,116.2,130.3
227,196,8,545,105,34.1,105.7,110.1
228,159,4,361,146,105.5,149,166.3
229,170,3,317,154.5,119.4,168.8,189.4
230,153,2,392,136,75.7,141.4,153.2
231,180,0,377,123,198.7,136.1,159.3
232,199,8,565,104,49.8,97.7,106.1
233,144,5,383,124,131.2,137,156.7
234,172,5,309,173,94.4,178.8,194.2
235,178,11,490,100,146.1,101.4,122.6
236,206,5,471,107,85.6,114.4,127.4
237,178,10,488,122,37.7,117.6,122.8
238,172,5,445,120.5,74.9,125.6,134.9
239,181,5,327,136,176.8,133.7,183.5
240,200,5,476,111,131.5,109.1,126.1
241,151,7,258,176,225,195.7,232.9
242,147,0,221,175,311,199.8,271.9
243,180,7,536,104.5,59,101.2,111.9
244,185,5,505,105,84.8,102.7,118.8
245,183,6,459,110,146.6,111.8,130.7
246,168,10,371,146.5,85.5,144.9,161.8
247,187,6,463,119,86.3,117.5,129.7
248,184,9,435,118.5,90.3,125,137.8
249,161,2,466,113,116.4,115.7,128.7
250,182,1,401,145,72.2,136.1,149.6
251,157,2,443,127,60.3,125.7,135.3
252,168,6,552,103,59.8,95.8,108.6
253,164,6,229,224,170.4,220.4,261.8
254,107,11,379,120,171.3,125.1,158.3
255,174,4,404,128,106.8,131.7,148.5
256,149,19,294,151,211.1,167.5,204.2
257,146,1,276,168,150.1,191.8,217.6
258,190,8,493,108,119.5,104.8,121.8
259,166,7,450,120.5,42.1,128.8,133.3
260,143,26,372,120,211.5,124.6,161.4
261,146,6,302,167,172.6,177,198.4
262,182,5,443,111,94,119.6,135.5
263,167,4,406,128,75.8,138,147.6
264,166,2,475,120.5,50.9,117.7,126.3
265,161,1,396,137,61,143.9,151.6
266,127,7,307,168,123,172,195.3
267,158,2,396,145,39.9,147.4,151.6
268,171,0,429,134,56.8,133.3,139.8
269,167,2,425,131,37.6,136.9,141.2
270,169,0,439,119,61.6,128.4,136.7
271,164,2,388,129.5,118.3,139.1,154.6
272,152,0,312,164,124.9,175.3,192.1
273,166,5,459,104.5,135.4,101.1,130.8
274,114,8,369,128,136.4,142.4,162.6
275,112,7,261,207,156.2,199.3,229.9
276,157,3,321,120,255.9,137.9,187.1
277,172,4,534,104,59.5,103.9,112.4
278,112,5,343,131.5,167.2,147.1,174.9
279,170,8,455,104,132.9,109.4,132
280,148,3,389,134.5,94.4,135.1,154.3
281,164,5,526,100.5,87.4,96.9,114
282,149,12,402,135,75.1,139.7,149.1
283,167,8,382,125,104.4,138.1,156.9
284,149,6,410,132,77.3,137.2,146.2
285,144,9,446,103,165.7,111.4,134.6
286,116,34,354,154,74.1,157.8,169.7
287,135,16,334,148,109.9,156.8,179.5
288,106,6,218,178,387.4,206.5,274.8
289,142,8,389,130,93.2,138.8,154.3
290,139,15,337,120,188.8,136.2,177.9
291,147,5,402,145,50.1,142.3,149.4
292,160,3,297,156.5,188.1,173.4,202.2
293,158,2,487,119,72.4,111.2,123.3
294,165,7,514,103,107.9,103.4,116.7
295,172,4,316,146.5,173.5,159.4,190
296,164,8,540,105,48.2,104.7,111.1
297,150,10,282,125.5,382,157.4,212.5
298,153,1,479,111,63.8,114,125.3
299,172,6,443,109,115.6,112.1,135.6
300,152,5,396,118.5,166.9,116.9,151.5
301,165,3,630,87,36,89.2,95.2
302,167,5,423,113,98.9,123.1,141.9
303,152,2,359,130,166.9,138.6,167.4
304,181,2,285,149,294.3,163.9,210.4
305,155,6,288,160,201.4,176.5,208.4
306,181,8,577,85,92.3,91.3,104
307,145,5,339,144,195.3,149.3,176.8
308,170,5,562,102,47.1,99.6,106.8
309,129,3,375,110,158.5,125.8,160.2
310,159,5,329,134,188,142.4,182.6
311,135,0,250,187,159.1,214.7,240
312,163,7,371,128,135,136.7,161.9
313,172,5,529,106,58.8,104.6,113.4
314,162,6,440,123.5,111.1,114.8,136.4
315,134,11,210,176,244.5,224.1,285.6
316,160,1,216,192,625.1,205.8,277.5
317,162,16,195,200,331.2,238.4,307.7
318,174,4,226,235.5,172.1,223.7,265.9
319,178,6,251,159,385.9,163.2,239
320,151,5,213,231,261.6,243.5,282
321,146,1,249,175.5,305.4,194.7,241.1
322,152,3,198,255,193.4,269.7,302.6
323,150,2,230,211.5,196.2,229,261.1
324,165,11,402,135,100.6,134.5,149.1
325,171,15,303,149,194.3,162.8,198.1
326,164,8,161,209.5,670.7,238.5,372.6
327,141,6,262,153,267.5,179.1,229.1
328,173,10,294,170,144,182.5,203.9
329,194,9,348,136,132.4,147.5,172.6
330,163,23,283,196,157.5,196.1,212.1
331,130,31,227,190.5,215.8,210.5,264.5
332,177,24,329,146,137.2,159.6,182.4
333,198,25,380,131,104.2,137.5,158
