id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,184,9,425,111,251.5,115.8,141.3
2,141,2,362,104,283.5,117.7,165.8
3,99,17,350,120,142,139,171.5
4,182,6,539,87.5,88.1,94.5,111.2
5,150,5,249,175.5,199.8,201.4,240.9
6,150,1,318,149,165.3,164.4,188.6
7,174,4,471,114,73.7,117.1,127.4
8,147,14,319,100,233.3,134,188
9,152,4,422,95.5,188.5,107.7,142.3
10,155,4,219,182,351.3,197.5,273.8
11,154,8,437,120.5,70.7,125.2,137.2
12,158,6,252,152,246.4,157.1,237.7
13,139,11,221,165,294.1,199.1,271.7
14,132,3,291,160.5,175.5,180.1,206.2
15,99,21,303,116,271,131.6,198
16,160,5,301,117.5,245,141.6,199.3
17,137,15,319,122,348.1,128.7,188.1
18,155,2,286,143,196.3,164.9,209.5
19,88,18,168,211,389.3,225.6,358.1
20,123,7,170,306,486.4,214.9,352
21,154,6,253,116.5,485.3,146.7,236.7
22,135,9,232,151,332.9,190,258.3
23,142,8,309,137.5,235.9,152,194.3
24,144,5,323,128.5,129.7,160.3,185.7
25,134,7,310,124.5,225.6,142.1,193.6
26,128,4,284,161.5,180.7,180.9,211.4
27,162,6,339,116.5,175,132.8,177
28,145,19,398,112,155.6,121.8,150.9
29,130,10,325,151.5,185.2,150.6,184.6
30,130,10,325,151.5,185.2,150.6,184.6
31,116,11,243,185,151.8,211.2,247.1
32,116,14,137,238,650.4,286.8,437.4
33,159,2,320,139,256.3,145.8,187.7
34,149,4,423,100,142.7,112.1,141.7
35,137,19,542,97,68.3,96.8,110.6
36,137,3,334,135,157.5,152.2,179.7
37,134,9,341,107,220.8,134,176.2
38,157,3,402,110,118.5,127.2,149.3
39,157,3,402,110,118.5,127.2,149.3
40,157,3,402,110,118.5,127.2,149.3
41,151,7,373,118,134,132.7,161
42,122,13,171,193,435.7,234.4,351.2
43,135,10,145,211,720.7,222.9,414.7
44,168,6,344,122.5,178.3,136.4,174.4
