id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,30,4,436,138.5,11.5,137.2,137.7
2,38,6,474,126,8.8,126.3,126.6
3,8,12,393,152,19.9,151.3,152.6
4,16,4,302,171,118.4,181.3,199
5,7,3,285,176,88.7,197,210.3
6,24,3,361,163,21.8,165,166.4
7,31,3,488,120,15.1,122.3,123.1
8,6,4,338,168,55.8,168.7,177.5
9,9,17,457,129,11,130.9,131.3
10,7,11,213,166,310,201.4,281.3
11,8,12,333,176.5,50.6,173.5,180.4
12,5,13,344,183,39.4,169.5,174.2
13,7,10,364,163,39.2,160.4,164.7
14,7,2,215,188,246.2,221.7,278.6
15,6,5,386,141.5,37.8,151.6,155.3
16,7,14,208,138,284.4,201.9,288.7
17,10,20,318,173.5,52.2,181.7,188.5
18,8,5,239,168.5,163.3,212.7,250.6
19,7,10,246,171,177.9,207.6,244
20,3,31,294,206,2.4,204.3,204.3
21,9,0,422,138,17.7,141.1,142.1
22,3,3,308,175,38.1,191.2,194.7
23,9,4,388,156,31.9,151.4,154.7
24,10,2,213,176.5,360.6,196.6,281.1
25,4,17,349,176.5,24.1,170.2,172
26,8,3,295,175.5,92.8,189.9,203.5
27,11,13,320,148,84.9,173.2,187.6
28,12,1,331,175.5,25.7,179.6,181.3
29,12,1,291,180,70.7,197.1,206.1
30,12,1,291,180,70.7,197.1,206.1
31,3,5,416,142,6.3,144.2,144.3
32,3,9,224,198,108.8,249.1,268.3
33,10,4,302,180.5,83.8,187.3,198.8
34,3,6,402,149,38.8,144.1,149.3
35,12,8,437,127,33.5,134.4,137.4
36,11,1,328,161,57,176.8,183.1
37,10,4,330,178.5,69.4,171.8,182
38,9,1,399,143,20.2,149.2,150.4
39,9,1,399,143,20.2,149.2,150.4
40,9,1,399,143,20.2,149.2,150.4
41,9,1,291,151,109.4,185.1,206
42,4,20,354,167.5,6.8,169.4,169.5
43,4,23,276,160.5,123.3,189.7,217
44,10,8,368,161.5,12.6,162.6,163.1
45,4,13,309,197,13,193.8,194.2
46,10,2,346,172,14.1,173.1,173.6
47,12,13,270,147.5,204.9,181.1,222.2
48,6,18,321,180.5,31.6,184.2,186.8
49,9,1,326,193,21.8,182.5,183.9
50,10,16,420,142.5,17.8,141.6,142.7
51,7,8,264,185,94.5,211.1,227.1
52,10,0,360,163.5,18.2,165.5,166.5
53,6,20,294,173.5,75,191.1,204
54,5,9,194,152,315,217.1,308.6
55,5,5,392,149,22.5,151.3,153
56,11,6,360,146,60.4,159.3,166.5
57,6,17,395,148.5,14.2,151.2,151.8
58,7,9,296,183,107.7,182,202.4
59,10,4,389,153,18.6,152.9,154.1
60,13,4,250,169,158.8,203.1,240.1
61,7,1,295,162,123.8,180.3,203.3
62,6,6,523,116,12.8,114,114.7
63,13,0,289,167,137.2,186.7,207.4
64,9,0,415,153,18,143.5,144.7
65,8,10,350,163,32.9,168.8,171.6
66,3,2,442,139,4.7,135.6,135.7
67,7,15,360,149,32.2,163.9,166.6
68,9,10,300,163,136.1,174.2,199.8
69,9,11,408,140,23,145.4,147.1
70,7,5,372,157,13.3,160.9,161.4
71,9,5,367,177,25.4,161.2,163.3
72,6,27,411,147,16.5,145.1,146
73,11,1,302,178,42.1,195,198.5
74,6,5,492,123.5,7.6,121.8,122
75,2,5,357,168,4,168,168
76,7,4,391,150,17.9,152.4,153.4
77,8,19,440,137.5,8.1,136.1,136.4
78,9,7,424,137,19.4,140.2,141.4
79,11,5,428,137,10.9,139.7,140.1
80,13,0,380,159,9.7,157.4,157.7
81,12,2,363,152.5,29.9,163,165.2
82,8,4,311,189,18.3,191.8,192.6
83,2,12,42,1431,258,1407.5,1431
84,9,2,344,180,29.7,172.1,174.4
85,12,4,353,164.5,49.9,164.3,170.1
86,11,4,439,133,13.6,136.2,136.8
87,10,33,285,151.5,98.5,191.6,210.2
88,10,3,455,133,14.6,131,131.9
89,12,3,394,155.5,12.7,151.9,152.4
90,9,2,387,157,11.2,154.7,155.1
91,5,13,400,137,21.1,148.6,150
92,8,13,357,170,18,167.3,168.2
93,10,0,438,134.5,18.2,135.7,136.9
94,12,10,398,153,13.3,150.1,150.7
95,9,11,365,165,8.6,164.2,164.4
96,12,19,411,151.5,18.7,144.6,146
97,8,20,533,111,11.9,111.9,112.5
98,4,20,229,188,137.2,234.1,261.5
99,9,3,446,132,9.8,134.1,134.4
100,9,15,372,166,10.2,161,161.3
101,9,12,426,136,19.1,139.7,140.9
102,9,26,392,130,80.5,140,153.1
103,7,11,426,141,16.6,139.7,140.7
104,8,23,260,169.5,184,189.7,230.4
105,13,7,409,134,48.2,141.1,146.8
106,9,12,244,185,199.3,207.4,245.9
107,9,4,270,200,72.4,213.1,221.9
108,10,4,364,165.5,11.4,164.4,164.8
109,6,21,207,181,262.9,223,289.5
110,5,17,104,182,812.8,281.2,576
111,14,9,404,147.5,19,147.2,148.4
112,7,9,355,136,91.3,152.9,169
113,11,0,391,152,20.2,152.2,153.5
114,12,2,385,164.5,28.5,152.9,155.8
115,6,33,331,188,52.5,173.7,181.3
116,26,1,391,161,26.6,150.2,153.6
117,12,5,268,184.5,109.3,205.2,224
118,7,16,332,191,18.9,179.7,180.7
119,3,8,155,145,341.5,262.8,386
120,7,9,328,172,48.8,177.7,183
121,6,1,293,199.5,23.3,203.4,204.7
122,6,20,360,176,33.9,163,166.7
123,8,20,348,154.5,52.1,165.8,172.2
124,9,2,360,170,14,166.1,166.7
125,6,12,224,161,250.4,205.2,267.7
126,10,2,423,136,14.6,141.2,141.9
127,5,18,315,186,20.8,189.3,190.4
128,6,12,259,168.5,138.5,206.1,232
129,7,24,368,169,24.9,160.8,162.9
130,11,7,324,149,108.4,168.3,185.5
131,7,4,415,157,32.6,140.5,144.6
132,9,23,362,164,21.8,164.2,165.7
133,6,43,180,223.5,242.4,265.9,333.3
134,9,3,365,172,13.6,163.8,164.3
135,3,2,344,197,34.9,170.4,174.3
136,2,26,311,193,34,190,193
137,13,4,369,160,16.3,161.6,162.4
138,7,9,326,194,52.1,176.8,184
139,4,2,311,158.5,73.7,181.3,193
140,9,5,386,153,13,154.9,155.4
141,9,16,399,147,15.7,149.6,150.3
142,13,14,347,156,65.9,165,173.2
143,9,23,224,165,238,214.4,267.8
144,5,26,381,156,9.7,157.3,157.6
145,2,12,333,180,4,180,180
146,7,9,426,148,15.1,139.9,140.7
147,5,13,302,196,10.7,198.3,198.6
148,6,3,377,151,22.9,157.9,159.3
149,7,7,371,156,17.9,160.6,161.6
150,11,23,383,132,52.2,149.2,156.6
151,6,26,251,159.5,187.4,197.2,239.5
152,7,39,318,159,68.2,177.5,188.7
153,7,7,372,149,23.8,159.8,161.4
154,9,5,354,170,19.6,168.5,169.7
155,6,26,251,182.5,143.1,209.5,238.8
156,7,3,167,254,269.5,303.2,358.3
157,5,28,311,182,24.8,191.5,193
158,4,14,230,169,185.6,213.4,261
159,3,15,62,263,1110.5,420.1,971
160,12,10,331,154,88.9,169.2,181.2
161,8,8,358,134,98.2,151,167.6
162,12,7,351,167,36.2,167.2,171
163,9,11,404,156,26.2,146.2,148.7
164,8,27,445,133.5,13.6,134.2,134.9
165,5,32,171,188,338.4,257.5,351.6
166,7,20,297,154,108.1,182,202
167,6,15,357,167,15.9,167.4,168.2
168,6,18,359,138.5,67.9,157.7,167.3
169,7,18,365,163,37.4,160.5,164.4
170,10,15,477,118,24.6,123.6,125.8
171,8,21,349,169,21,170.5,171.8
172,8,4,140,151.5,752.3,201.4,427.6
173,11,7,246,153,320.8,171.4,243.5
174,12,11,443,129,19.7,134.2,135.6
175,8,8,447,139,23.9,131.9,134.1
176,10,1,351,186.5,43.6,165.1,170.9
177,8,21,405,148.5,13.1,147.5,148.1
178,9,5,373,160,14.1,160.3,160.9
179,13,16,379,144,46.1,153,158.5
180,12,1,341,169,30.8,173.6,176
181,11,4,281,149,197.4,174.4,213.3
182,2,24,430,139.5,13.5,138.8,139.5
183,3,10,140,189,355.3,309.3,429.7
184,9,5,410,141,31.7,143.5,146.3
185,12,10,383,133,72.9,147.3,156.8
186,14,5,407,152.5,14,146.7,147.4
187,8,7,428,132,22.1,138.6,140.2
188,12,7,392,154.5,21,151.8,153.2
189,12,16,384,156,15.1,155.3,156.1
190,7,26,379,155,20.9,156.9,158.3
191,7,14,389,153,7.7,154,154.1
192,9,9,324,188,24.1,183.5,185.1
193,12,8,362,166.5,10,165.3,165.6
194,12,1,379,160,13.2,157.8,158.3
195,9,5,374,152,31.3,157.5,160.3
196,12,0,232,170.5,306.5,196.6,259.1
197,13,11,426,142,18.5,139.7,140.9
198,9,20,344,178,30.4,171.9,174.7
199,11,1,328,191,24.9,181.4,183.2
200,9,18,427,143,14,139.7,140.4
201,8,26,318,200,32.1,185.7,188.6
202,6,14,436,138.5,9.7,137.1,137.5
203,9,15,400,149,16.5,149,149.9
204,6,16,384,149.5,20.4,155.1,156.3
205,8,3,472,127,16.5,126.1,127.1
206,9,23,410,143,11.9,145.8,146.2
207,7,9,258,165,182.9,191.2,232.6
208,8,5,397,142,20.6,149.9,151.2
209,14,5,467,126.5,13.8,127.6,128.4
210,13,3,356,137,94.9,154.9,168.5
211,32,7,527,114.5,9.3,113.4,113.8
212,42,23,372,154,24.5,159.6,161.2
213,33,5,427,140,16.7,139.7,140.7
214,7,5,336,184,25.5,176.8,178.6
215,38,3,326,181,29.6,181.8,184.1
216,12,7,419,128,66.1,134.5,143.1
217,26,17,312,169.5,71.7,183.9,192.2
218,6,10,258,185,129.4,208.5,232.2
219,33,4,393,146,15.9,152,152.8
220,43,2,395,149,19.6,150.7,151.9
221,10,11,428,143,15.7,139.2,140.1
222,26,2,326,161.5,72.6,175.2,183.8
223,15,5,359,167,15,166.5,167.1
224,36,2,410,146.5,14.4,145.7,146.4
225,29,8,315,169,125,175.3,190.4
226,14,8,282,151,156.8,178.3,212.6
227,31,13,327,155,135.1,166.8,183.3
228,9,5,396,137,54.3,143.4,151.4
229,30,5,303,193.5,28.2,196.5,198.2
230,12,3,421,135,21.7,141,142.7
231,12,0,419,144,10.9,142.7,143.1
232,42,13,365,144,86.8,153.2,164.2
233,11,7,379,153,15.2,157.5,158.3
234,30,10,304,179,68.1,190.3,197.2
235,19,15,486,120,19.5,122.1,123.4
236,33,0,422,136,16.8,141.3,142.3
237,18,4,374,149.5,71,151.2,160.2
238,7,5,446,131,15.3,133.8,134.6
239,9,17,314,184,24.3,189.6,191.1
240,31,10,382,146,58.8,151.9,157.2
241,8,12,355,180,34.2,165.2,168.9
242,2,12,106,565.5,430.5,366.7,565.5
243,24,15,402,148.5,23.8,147.2,149.1
244,28,16,393,149,19.4,151.6,152.8
245,30,9,382,152,24.4,155.4,157.2
246,9,26,313,176,42.9,187.9,191.9
247,12,5,429,136.5,14.5,139.3,140
248,14,9,398,127.5,92.2,137.4,150.8
249,15,2,358,160,49.7,161.6,167.5
250,37,0,333,157,92.2,169.9,180.2
251,15,1,389,149,19.2,153.1,154.3
252,7,3,455,134,15.1,131,131.9
253,4,3,320,179,37.9,183.9,187.5
254,3,8,390,152,25.4,151.9,154
255,12,7,289,191.5,33.8,205.1,207.5
256,10,7,296,146.5,164,171.1,202.4
257,9,1,471,120,20.8,125.7,127.3
258,41,18,326,158,111.4,169.2,184.2
259,15,2,349,161,47.3,167.1,171.7
260,5,13,382,157,11.1,156.6,157
261,11,2,296,186,50.9,197.9,202.5
262,14,5,399,152,7.5,150.1,150.3
263,14,0,356,165,21.3,167.1,168.4
