id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,142,10,461,120.5,78.5,119.1,130
2,144,4,441,135,67.2,125.7,136
3,148,11,404,112,156,120.2,148.6
4,147,2,533,100,44.7,104.8,112.7
5,145,6,222,234,146.8,245.4,270.8
6,139,0,260,201,122.6,211.9,230.4
7,133,3,487,119,55.3,114.2,123.3
8,125,14,202,257,186.2,256.4,296.5
9,138,11,366,160,77.4,149.6,163.7
10,144,2,209,250.5,141.6,265.1,287.3
11,140,7,292,184.5,98.3,190.2,205.4
12,145,9,172,276,240.6,296.6,349.1
13,142,21,200,237,385.5,244.9,299.7
14,143,9,213,228,190.1,245.4,281.6
15,20,81,300,185.5,81,185,200.2
16,145,4,296,181,102.7,185.7,202.7
17,128,32,286,189,110.3,189,209.8
18,147,0,278,191,85.3,202.8,216.1
19,21,78,215,264,72.7,270.6,279.7
20,140,10,136,340,305.7,382.9,440
21,140,9,257,197.5,191.8,196.5,233.5
22,136,15,272,180.5,159.1,191.2,220.3
23,143,5,299,172,193.5,177.2,200.7
24,139,8,245,222,108,225.5,244.6
25,142,6,228,235,108.8,242.4,262.7
26,146,4,211,232,174.5,249.6,284.3
27,151,5,252,187,589.1,185.5,237.9
28,144,3,508,98,79.3,104,118.2
29,139,6,482,111,57.8,114.8,124.6
30,139,6,482,111,57.8,114.8,124.6
31,117,26,162,293,456.8,310.7,371.4
32,136,16,98,340.5,746,447,614.4
33,145,4,243,221,122.1,229.4,247.1
34,146,8,280,182,322.5,178.7,214.2
35,19,80,271,117,303.3,147.8,221.4
36,145,2,259,198,152.8,202.4,231.5
37,129,23,236,199,231.6,211.5,254.1
38,145,2,315,193,82.4,175.8,190.3
39,145,2,315,193,82.4,175.8,190.3
40,145,2,315,193,82.4,175.8,190.3
41,143,5,266,187,219.2,188.5,225.8
42,125,11,144,332,313.2,352.7,415.8
43,144,11,111,386.5,477.7,438.2,540.8
44,146,1,249,222,117.5,225,241
45,139,8,239,218,129,231.5,251.2
46,145,2,267,194,238.4,197.9,224.3
47,145,2,368,148,114.6,140.2,163.1
48,140,7,190,257.5,197.1,278.5,316
49,147,0,263,217,90.4,213.1,228.3
50,145,4,254,223,80.6,224.4,236.5
51,146,1,236,234.5,95.8,242,253.9
52,143,5,267,213,110.6,204.2,224.4
53,144,7,171,265,347.6,289.9,350.4
54,142,7,147,329,282.9,354.1,407.7
55,137,13,146,287,413.4,309.3,410.2
56,147,8,281,195,102.2,202.6,213.5
57,141,14,195,267,170.8,281,307.4
58,130,11,235,233.5,98.7,238.2,255.1
59,141,6,357,161,62.5,157.7,168.2
60,140,2,549,96,45.3,100.5,109.2
61,132,13,353,152.5,113.5,153.6,169.8
62,158,5,273,152,356.9,167.3,219.7
63,126,1,417,133.5,89.3,125.6,144
64,121,5,225,177,349.5,196.4,266.2
65,126,0,336,127,164.6,145.3,178.7
66,116,7,312,168.5,91.1,179.1,192.1
67,126,6,287,177.5,155.9,174.6,209.2
68,119,6,268,207,110.2,199.1,224.3
69,122,6,264,163,242.6,181.2,226.9
70,123,2,148,313,271.8,354.8,404.1
71,126,3,248,213,118.6,222.9,242.2
72,125,4,196,214,288,246.6,305.5
73,118,7,367,128.5,106.3,143.4,163.5
74,121,14,297,186,88,192.2,202.3
75,119,3,264,193,165.7,196.9,227.3
76,127,6,205,205,329.6,232.5,292.7
77,125,4,304,166,105.5,180.9,197.3
78,124,1,263,190,165.9,200.2,228.5
79,125,2,318,182,105,169.4,188.9
80,125,0,454,124,72.2,117.4,132.1
81,124,2,432,120.5,91.1,120,138.9
82,125,1,214,228,176.2,242.1,280.6
83,113,17,108,395,437.7,451.4,553.2
84,124,0,343,155.5,90.5,161.8,175.1
85,134,6,321,176.5,86.7,172.6,187.1
86,126,4,320,141,220,158.4,187.6
87,7,16,340,173,15.4,176.1,176.7
88,41,58,379,145,102.2,135.1,158.3
89,126,0,289,182,123.6,190.4,208
90,123,6,284,182,113.8,192.9,211.5
91,124,1,269,189.5,133.8,202.8,222.6
