id,targetted,non_targetted,cpm,median,stdev,logmean,mean_iki
1,22,1,388,118.5,172.7,120,154.6
2,32,2,422,137,74.4,130.3,142.2
3,20,0,330,129,164.3,141.8,182
4,21,0,550,97,42.1,102,109
5,20,4,269,221,63.1,214.3,222.9
6,20,0,245,205,122,224.3,245.2
7,19,0,426,118,91.2,124.5,140.7
8,18,3,258,240.5,67.7,219.5,232.3
9,21,0,398,160,48.3,141.7,150.6
10,21,0,216,240,112.4,261.3,278.2
11,21,0,273,205,77.8,208.4,219.7
12,22,1,181,290,196,286.6,331.8
13,20,2,203,239.5,216.3,250.3,294.8
14,20,2,220,202.5,134.4,243,272.6
15,3,11,213,319,66.2,273.1,282
16,19,4,308,183,70.3,183.9,194.6
17,18,4,314,178.5,52.5,183.8,190.8
18,21,0,286,194,62.3,200.7,209.6
19,3,11,186,357,53.8,318.1,323
20,20,2,152,331.5,175.6,368.9,394.8
21,21,0,296,187,86.8,187.9,202.7
22,19,1,338,169,64.5,165.7,177.4
23,21,0,348,157,68.7,158.7,172.2
24,20,2,244,217,99,226.9,245.4
25,21,0,250,231,99.3,221.4,239.8
26,21,1,250,207,103.9,219.8,240
27,47,2,178,174,1044.5,186.4,336.7
28,21,0,362,110,155.7,126.4,165.6
29,15,5,561,94,35,100.7,107
30,15,5,561,94,35,100.7,107
31,15,6,175,267,270.8,289.1,342.6
32,18,2,117,367,393.4,419.7,514.2
33,20,2,273,212.5,77.4,206.7,219.7
34,22,4,370,159,79.2,147.7,162.4
35,2,13,719,83.5,22.5,80.4,83.5
36,20,1,304,188.5,99.5,178.4,197.6
37,19,3,242,197,169.6,213.3,248.4
38,21,0,383,166,52.1,146.7,156.8
39,21,0,383,166,52.1,146.7,156.8
40,21,0,383,166,52.1,146.7,156.8
41,21,0,235,195,271.8,202.8,255.2
42,14,5,181,295,109.3,314.4,332.1
43,22,1,97,348,941.5,416.1,620.5
44,21,0,283,207,39.4,208.4,212.1
45,19,2,218,230,196.7,238.9,275.6
46,21,0,314,177,65.9,175.6,191.1
47,21,0,413,153,74.7,127.6,145.4
48,21,0,188,242,178,281.6,319.5
49,21,0,301,196,70.7,186.1,199.3
50,20,2,273,208,67.3,210.2,219.6
51,21,0,268,224,44.8,219.4,223.8
52,18,3,299,196,85.8,184.7,200.9
53,20,3,168,299,216.1,314.1,357.9
54,20,2,187,296.5,177.3,292.4,320
55,21,0,161,287,280.5,307.9,371.9
56,21,0,241,202,218.7,215.3,248.6
57,18,4,175,278,243.9,296,342.9
58,18,3,245,233,84.7,231.9,244.8
59,19,1,350,171,48.7,164.5,171.5
60,21,0,576,95,40.6,95.3,104.1
61,18,3,395,138.5,65.8,141.1,152
62,22,1,330,148,90,164.2,181.7
63,18,0,335,130.5,157.6,140.7,179.2
64,18,0,296,173,136.4,176.3,202.7
65,18,0,346,143,104.1,150,173.6
66,17,0,308,171,76.3,183.6,195.1
67,21,0,248,171,216,178.2,242
68,17,1,285,170,104.8,186.1,210.5
69,17,1,226,179,233.6,208.8,265.1
70,18,0,183,260,146.9,304.9,328.4
71,18,0,283,196.5,62.1,203,211.7
72,18,1,235,187.5,159.1,224.7,255.2
73,18,0,444,116.5,44.2,128.9,135.1
74,17,3,318,186,32.4,185.8,188.5
75,18,1,323,184.5,82.2,170.2,185.6
76,17,1,163,205,600,242,368
77,18,0,346,157,76.5,162.4,173.2
78,18,0,263,187.5,188.9,197.8,228.1
79,18,0,376,171.5,47.6,151.6,159.4
80,18,0,467,135,52.8,116,128.4
